exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,111.8,1473.51,Premium
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Orge,363.12,243.65,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Pommes de terre,560.88,514.05,Premium
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,228.91,16889.47,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Tomates,31.56,1691.11,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,257.46,3433.95,Standard
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Blé,27.69,279.79,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,350.98,4770.48,Premium
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Fromage,158.18,11677.23,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,125.22,1432.64,Bio Certifié
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,177.76,15819.03,Bio Certifié
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,43.43,1283.13,Standard
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Beurre,151.39,8956.77,Bio Certifié
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Maïs,336.35,259.04,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Bananes,179.49,1039.34,Premium
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Pamplemousses,137.1,1397.66,Bio Certifié
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,156.03,3020.78,Commerce Équitable
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,183.82,1153.26,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Mandarines,193.66,1913.66,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,171.72,1890.15,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives de Table,429.9,3951.52,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,36.62,3519.25,Premium
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Lait,35.96,595.1,Bio Certifié
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,829.1,3330.37,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,665.1,4087.27,Standard
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Salades,178.46,1716.57,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Tomates,239.54,2403.56,Premium
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,17.1,3838.73,Bio Certifié
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,167.3,3260.12,Premium
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,46.93,3406.92,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,108.1,1136.26,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Pommes,24.91,1029.13,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Tomates,21.06,1686.85,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,44.74,1899.05,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,598.92,3100.55,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,121.39,1772.1,Standard
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,17.74,3873.23,Premium
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,271.23,1984.08,Standard
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,19.13,3971.6,Premium
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,470.05,2000.62,Standard
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Cuve,23.41,1751.78,Bio Certifié
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Cuve,138.66,1716.98,Bio Certifié
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Oignons,947.32,811.3,Commerce Équitable
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,173.28,411.47,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Pommes de terre,714.71,487.96,Bio Certifié
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,203.28,1856.42,Standard
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,129.5,2226.48,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,114.11,1465.56,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Citrons,88.4,1346.25,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,91.51,2150.52,Premium
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,111.52,1498.45,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Maïs,225.14,238.91,Premium
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,480.56,17690.92,Bio Certifié
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,65.71,3320.1,Standard
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,158.45,3094.14,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,594.58,2947.38,Premium
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Orge,485.89,232.41,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,25.98,1272.35,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Orge,115.97,220.88,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Mandarines,164.43,1905.41,Commerce Équitable
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Cuve,144.55,1670.76,Bio Certifié
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,198.61,1960.67,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Pommes,20.7,1062.77,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,712.94,4145.63,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Oranges,175.03,1027.13,Commerce Équitable
Rungis International,Rungis International,France,Île-de-France,N/A,Salades,115.64,1893.61,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,83.21,457.27,Premium
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,363.09,16570.89,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Tomates,923.73,2388.98,Bio Certifié
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,127.83,1866.43,Standard
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Fromage,53.59,10413.55,Bio Certifié
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Orge,64.54,205.46,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,40.9,2246.56,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,652.07,1775.36,Commerce Équitable
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Blé,124.18,243.34,Premium
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Citrons,122.88,1349.97,Commerce Équitable
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Oranges,22.07,964.37,Bio Certifié
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,722.54,3030.91,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,156.11,3967.0,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,48.96,1850.87,Standard
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,137.62,1553.16,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,264.29,2198.82,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,116.58,1869.83,Bio Certifié
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,143.78,1827.78,Standard
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Orge,125.54,229.02,Standard
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Riz,114.01,443.37,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,876.13,3404.57,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives de Table,166.21,3457.09,Premium
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Blé,49.73,255.97,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,626.29,4365.41,Standard
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Beurre,75.68,9399.91,Bio Certifié
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Blé,46.53,215.57,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives de Table,64.31,3551.15,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,213.92,2002.05,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives de Table,266.52,3697.17,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,62.61,1637.79,Premium
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,111.95,3945.24,Bio Certifié
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,516.28,3222.72,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,905.69,4515.76,Standard
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Orge,77.29,213.21,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Pommes,117.15,1322.66,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Tomates,179.2,1542.12,Standard
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,265.81,17224.37,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Bananes,81.97,951.23,Premium
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,274.21,427.1,Premium
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,39.04,3233.26,Bio Certifié
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Pommes,163.11,1040.04,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,984.14,1608.17,Bio Certifié
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,52.39,514.13,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Tomates,746.61,2122.07,Bio Certifié
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Tomates,45.54,1420.66,Standard
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,110.67,3717.59,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,39.33,1988.68,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,96.31,1704.5,Bio Certifié
Rungis International,Rungis International,France,Île-de-France,N/A,Salades,163.88,1852.78,Standard
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,262.92,17334.75,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,151.74,1945.11,Premium
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Deglet Nour,131.55,7307.57,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,158.49,2196.76,Premium
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Bananes,41.21,1094.37,Standard
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Salades,70.08,2052.98,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,371.24,1955.19,Bio Certifié
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Oranges,84.38,1130.7,Bio Certifié
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,488.38,4274.3,Premium
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,176.94,3495.19,Premium
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,38.82,3302.31,Bio Certifié
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Salades,118.28,2157.48,Premium
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,111.93,1618.93,Bio Certifié
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Yaourt,161.49,3132.41,Bio Certifié
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,12.32,1235.44,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Maïs,205.56,253.25,Premium
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,90.48,1573.12,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Salades,106.12,2066.87,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,96.0,506.53,Premium
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Yaourt,38.98,3580.1,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,193.82,2005.88,Commerce Équitable
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,197.12,1652.5,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Citrons,69.17,1285.51,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,49.06,3802.18,Standard
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,174.07,3944.11,Bio Certifié
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Maïs,95.92,256.87,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,119.75,1511.42,Bio Certifié
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Oranges,120.31,1164.44,Bio Certifié
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Citrons,195.35,1382.78,Bio Certifié
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Bananes,199.41,1000.66,Standard
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Bananes,91.09,1089.93,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,16.94,1487.43,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Mandarines,145.67,1693.93,Bio Certifié
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Orge,116.33,197.25,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,777.92,4192.61,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Tomates,14.82,1345.27,Premium
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Lait,114.83,518.65,Bio Certifié
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Fromage,74.46,11433.33,Premium
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Fromage,163.01,12842.13,Premium
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,228.73,472.69,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,176.96,2737.1,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Carottes,678.63,1039.96,Commerce Équitable
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,59.29,3373.68,Bio Certifié
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,75.59,3787.53,Bio Certifié
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Bananes,190.21,1079.08,Standard
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Salades,197.22,1982.64,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Tomates,341.81,2126.23,Premium
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,168.64,1924.14,Bio Certifié
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Maïs,139.8,307.1,Standard
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Table,62.07,3556.89,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Bananes,30.25,892.01,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,162.83,467.97,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,89.57,1447.41,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Pommes,150.23,1049.81,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,169.05,1471.74,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,609.76,2978.45,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,101.91,3258.41,Bio Certifié
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Carottes,146.28,978.93,Bio Certifié
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Deglet Nour,263.41,8007.85,Bio Certifié
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,359.78,16471.53,Bio Certifié
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Blé,10.44,285.08,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,182.42,2047.85,Bio Certifié
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,284.59,14716.99,Commerce Équitable
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Yaourt,163.25,3666.72,Premium
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Lait,181.64,584.64,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,17.49,1274.01,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,183.94,1720.37,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Pommes de terre,479.59,609.62,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,387.19,4944.04,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,101.4,2231.0,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,158.82,4250.64,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,150.19,3521.18,Bio Certifié
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Pommes,14.64,1333.24,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,188.42,1307.56,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Pommes,26.82,1033.53,Standard
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Deglet Nour,91.26,7987.65,Bio Certifié
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,30.99,1434.58,Standard
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Orge,121.93,205.3,Premium
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Oranges,139.13,1025.33,Commerce Équitable
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,121.83,4006.45,Premium
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,197.95,1609.51,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Bananes,53.81,1099.19,Standard
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Blé,51.89,226.48,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,129.66,3202.14,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives de Table,128.25,3391.05,Premium
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Pamplemousses,180.51,1246.16,Premium
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,452.71,18615.04,Bio Certifié
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Riz,264.5,388.49,Premium
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Medjool,344.86,17056.32,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,142.19,1452.59,Bio Certifié
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,139.82,1745.68,Premium
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,182.24,1532.09,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,149.44,1509.57,Premium
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Citrons,174.79,1487.51,Premium
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,30.11,2119.39,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Blé,442.33,214.69,Premium
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Blé,384.58,224.56,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Tomates,59.15,1361.91,Standard
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Oranges,130.04,1039.29,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Oignons,784.93,850.4,Commerce Équitable
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Bananes,187.09,880.75,Premium
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Riz,67.18,478.1,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,21.0,3053.43,Premium
Rungis International,Rungis International,France,Île-de-France,N/A,Salades,152.43,1778.05,Premium
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Blé,195.62,249.15,Premium
