produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Huile d'Olive Bio,Sport,Philips,59.30895402890686,Aucune,261,Luxe,423
iPhone 15 Pro,Maison,Adidas,134.05900433587408,Aucune,998,Budget,512
Nike Air Max,Électronique,Décathlon,46.15746916359522,Black Friday -40%,192,Premium,290
Huile d'Olive Bio,Beauté,Samsung,344.3348759614199,Aucune,895,Premium,326
PlayStation 5,Sport,H&M,365.41404499569927,Promo Flash -25%,431,Premium,162
Crème L'Oréal,Mode,Chanel,679.9420147765816,3 pour 2,1007,Premium,590
Yaourt Nature,Sport,Apple,12.22225274699526,Aucune,349,Budget,102
Adidas Survêtement,Électronique,Terra Bio,109.85327662593062,Aucune,76,Budget,398
Parfum Chanel N°5,Mode,Terra Bio,335.0024451419811,Soldes -30%,476,Budget,111
Parfum Chanel N°5,Électronique,L'Oréal,-66.73714170754626,Aucune,308,Luxe,255
Canapé IKEA Ektorp,Mode,Décathlon,98.88723474463623,Aucune,62,Standard,900
Aspirateur Dyson V15,Beauté,L'Oréal,1098.1670933135504,Black Friday -40%,699,Premium,264
Vélo Décathlon,Électronique,Décathlon,15.412162145623626,Promo Flash -25%,66,Budget,495
Aspirateur Dyson V15,Sport,Dyson,680.5713432118225,Aucune,161,Premium,457
H&M T-Shirt,Sport,Terra Bio,317.15350126036503,Aucune,280,Budget,884
PlayStation 5,Alimentation,Zara,603.7331773016548,Aucune,56,Premium,149
Adidas Survêtement,Mode,Décathlon,83.0665746749248,Aucune,61,Premium,176
Lampe Philips Hue,Maison,Dyson,266.8382737616081,Promo Flash -25%,455,Première Commande,783
Nike Air Max,Électronique,Nike,141.94872612278039,Soldes -30%,384,Standard,501
Huile d'Olive Bio,Électronique,Zara,1460.494508367898,Black Friday -40%,336,Standard,253
Aspirateur Dyson V15,Mode,Apple,1528.697713096153,3 pour 2,427,Standard,241
iPhone 15 Pro,Mode,Dyson,9.902160305734299,Aucune,482,Luxe,202
Yaourt Nature,Alimentation,Zara,154.3964839865715,Aucune,-67,Premium,813
MacBook Air M3,Mode,Dyson,95.36099834872576,Black Friday -40%,1007,Première Commande,755
Vélo Décathlon,Électronique,Adidas,-45.60306477675198,Aucune,2024,Premium,575
Adidas Survêtement,Alimentation,Sony,69.3037680642678,Aucune,241,Standard,-56
Zara Veste Hiver,Sport,Zara,576.2732081144596,Aucune,167,Budget,674
Samsung Galaxy S24,Alimentation,Lindt,13.924599001140756,Aucune,1059,Budget,376
Ballon Nike,Mode,Décathlon,-58.14153640544643,Aucune,405,Premium,900
Chocolat Lindt,Maison,Nike,391.7795618446586,Cyber Monday -35%,427,Premium,921
Adidas Survêtement,Sport,Zara,1388.0827799829733,Black Friday -40%,42,Standard,281
Zara Veste Hiver,Alimentation,Zara,21.287806624724283,Soldes -30%,434,Budget,413
Adidas Survêtement,Beauté,Décathlon,-66.56796300462862,Promo Flash -25%,607,Standard,277
Lampe Philips Hue,Sport,Nike,-64.54172531778158,Aucune,307,Budget,175
MacBook Air M3,Beauté,H&M,-10.415451766685848,Aucune,181,Standard,305
Vélo Décathlon,Mode,Apple,139.34883252323525,Black Friday -40%,903,Standard,306
Zara Veste Hiver,Électronique,Chanel,-95.6809732934199,Aucune,163,Budget,417
PlayStation 5,Alimentation,Adidas,429.36965998973056,Soldes -20%,461,Premium,381
Vélo Décathlon,Sport,Apple,227.56650487698982,3 pour 2,136,Premium,-91
Chocolat Lindt,Maison,Samsung,875.0165511254402,2ème à -50%,835,Budget,572
PlayStation 5,Électronique,Sony,599.7814367727509,Aucune,463,Budget,2183
iPhone 15 Pro,Mode,L'Oréal,192.8056090844795,Soldes -30%,284,Budget,240
Adidas Survêtement,Mode,Décathlon,214.14376342114736,Aucune,364,Luxe,369
Café Arabica,Alimentation,Philips,-109.40181400046416,Soldes -30%,1008,Luxe,471
Nike Air Max,Sport,Lindt,25.671680764997348,Aucune,284,Budget,2261
Lampe Philips Hue,Sport,Terra Bio,-91.91993032788722,Aucune,129,Luxe,327
Parfum Chanel N°5,Électronique,Terra Bio,307.9676290167524,Soldes -20%,336,Premium,558
AirPods Pro,Sport,Philips,38.956119433037394,Promo Flash -25%,81,Première Commande,193
Parfum Chanel N°5,Sport,Dyson,28.360022464742055,Aucune,85,Luxe,118
Lampe Philips Hue,Sport,Danone,-86.23238730541337,Aucune,466,Première Commande,362
Yaourt Nature,Mode,Décathlon,404.8261528903838,Aucune,435,Budget,759
Ballon Nike,Électronique,H&M,-96.4640947191873,Aucune,130,Budget,282
Canapé IKEA Ektorp,Mode,Terra Bio,7.1085725126787835,Aucune,183,Standard,1
Huile d'Olive Bio,Sport,Apple,208.39510394853343,Aucune,187,Premium,468
Café Arabica,Électronique,L'Oréal,15.055489286706063,Soldes -50%,299,Budget,649
iPhone 15 Pro,Maison,Adidas,-42.88148094121236,Aucune,273,Standard,167
Aspirateur Dyson V15,Électronique,Danone,620.4696228320425,2ème à -50%,2545,Standard,252
H&M T-Shirt,Sport,Dyson,111.40511642628655,Aucune,406,Premium,833
Yaourt Nature,Mode,Adidas,261.51589475151985,Soldes -20%,1304,Standard,406
Vélo Décathlon,Maison,Chanel,552.1285312255877,Aucune,259,Luxe,476
Vélo Décathlon,Sport,Apple,245.66839890917683,Promo Flash -25%,1760,Standard,1480
Vélo Décathlon,Maison,H&M,336.1067797179039,Aucune,894,Luxe,532
MacBook Air M3,Mode,Terra Bio,34.45017908630558,Aucune,626,Premium,538
Aspirateur Dyson V15,Électronique,Terra Bio,1236.2706723443537,Aucune,275,Standard,414
Yaourt Nature,Mode,Philips,102.08672392996138,Soldes -20%,247,Standard,43
Samsung Galaxy S24,Électronique,Philips,156.76357906353016,Cyber Monday -35%,197,Luxe,242
Vélo Décathlon,Alimentation,Lindt,96.47898552862756,Aucune,-18,Luxe,436
iPhone 15 Pro,Alimentation,Adidas,-58.51671628834946,Aucune,483,Premium,322
H&M T-Shirt,Mode,Décathlon,1.630191877116033,Aucune,84,Standard,519
Aspirateur Dyson V15,Mode,Samsung,830.2547228447654,Aucune,264,Budget,2747
Ballon Nike,Sport,Samsung,-6.360681866252811,Aucune,22,Première Commande,1025
Canapé IKEA Ektorp,Maison,Philips,24.12762158854963,Black Friday -40%,436,Budget,925
Ballon Nike,Mode,Adidas,89.64908492115134,Soldes -20%,427,Premium,524
PlayStation 5,Mode,Chanel,696.7331086024574,Aucune,1992,Premium,847
MacBook Air M3,Électronique,Terra Bio,529.2583269363304,Cyber Monday -35%,511,Budget,664
Ballon Nike,Mode,Décathlon,158.69403830652976,Black Friday -40%,372,Standard,2142
Huile d'Olive Bio,Beauté,Décathlon,322.79965947018843,Promo Flash -25%,105,Standard,1225
Huile d'Olive Bio,Beauté,Philips,60.75149190079169,Aucune,127,Budget,746
Yaourt Nature,Maison,Dyson,148.35974603064744,Aucune,304,Standard,497
Canapé IKEA Ektorp,Électronique,Nike,1582.3625733799568,Aucune,78,Luxe,235
Parfum Chanel N°5,Maison,Chanel,136.27264821908784,Aucune,521,Standard,468
MacBook Air M3,Mode,Décathlon,494.90031335328854,Promo Flash -25%,320,Standard,864
Vélo Décathlon,Électronique,Décathlon,34.42996460053031,Aucune,1019,Première Commande,2327
PlayStation 5,Sport,IKEA,-148.79238461466053,Aucune,218,Budget,427
Canapé IKEA Ektorp,Alimentation,Lindt,1445.2449256527605,Soldes -30%,407,Budget,161
Vélo Décathlon,Mode,Terra Bio,734.0695224650226,Aucune,1,Standard,828
Huile d'Olive Bio,Alimentation,Nike,1255.9447379570324,Soldes -20%,490,Luxe,737
Café Arabica,Mode,Adidas,-18.668594826146375,Aucune,512,Standard,247
Zara Veste Hiver,Maison,Chanel,30.239271503123764,Aucune,391,Standard,877
iPhone 15 Pro,Beauté,Lavazza,430.2185772711583,Aucune,198,Standard,612
Café Arabica,Électronique,L'Oréal,86.92785049196165,Aucune,609,Budget,51
Crème L'Oréal,Sport,Nike,573.5023417410241,Aucune,420,Budget,342
Ballon Nike,Mode,Sony,-63.42119290967794,Aucune,228,Premium,241
MacBook Air M3,Maison,H&M,720.3848111781417,Soldes -50%,528,Premium,117
PlayStation 5,Sport,Samsung,-77.18872751098354,Aucune,397,Budget,445
MacBook Air M3,Beauté,Samsung,55.703160023089595,Aucune,-11,Standard,424
Crème L'Oréal,Alimentation,Lindt,-29.04121550675876,Aucune,-17,Standard,326
Lampe Philips Hue,Mode,Apple,18.66134131588009,Soldes -20%,545,Standard,953
Ballon Nike,Mode,Apple,390.03659549326613,Black Friday -40%,74,Budget,605
MacBook Air M3,Beauté,Décathlon,1316.4999259649296,Aucune,341,Premium,147
Parfum Chanel N°5,Alimentation,Nike,300.3938494243404,Aucune,1883,Standard,207
Yaourt Nature,Électronique,Nike,-126.97011934441375,Aucune,476,Premium,1152
Canapé IKEA Ektorp,Sport,Philips,247.77334897989533,Aucune,-70,Budget,183
Samsung Galaxy S24,Sport,IKEA,673.2308131926583,Aucune,214,Standard,1908
Chocolat Lindt,Alimentation,Dyson,189.9041881178255,Aucune,822,Premium,350
Vélo Décathlon,Sport,Décathlon,178.0441263238272,Aucune,56,Standard,169
H&M T-Shirt,Alimentation,Samsung,45.882998353104924,Black Friday -40%,967,Première Commande,1020
MacBook Air M3,Sport,Apple,896.60390307546,Aucune,472,Budget,271
Samsung Galaxy S24,Mode,Zara,616.3344558444434,Aucune,66,Budget,1039
Café Arabica,Beauté,Nike,937.52716814789,Aucune,307,Budget,633
Ballon Nike,Mode,Nike,89.89484867476062,Aucune,117,Standard,437
Huile d'Olive Bio,Mode,L'Oréal,576.7668822979821,Aucune,835,Premium,294
iPhone 15 Pro,Alimentation,Lindt,433.6417566886414,Aucune,392,Budget,684
Crème L'Oréal,Électronique,Sony,42.37252461993693,Soldes -30%,462,Premium,414
Café Arabica,Maison,Adidas,8.175439406908893,Aucune,70,Première Commande,-45
iPhone 15 Pro,Électronique,Chanel,989.2765514371056,Aucune,394,Luxe,347
MacBook Air M3,Électronique,Lindt,217.17980421643514,Cyber Monday -35%,57,Budget,260
Yaourt Nature,Maison,Philips,521.7285681575739,Aucune,52,Budget,136
Zara Veste Hiver,Mode,Philips,21.896046259309493,Soldes -30%,544,Standard,191
iPhone 15 Pro,Électronique,Lavazza,113.22993584564375,Cyber Monday -35%,556,Premium,867
PlayStation 5,Mode,Zara,273.89498954901,Aucune,1313,Luxe,235
Crème L'Oréal,Maison,Dyson,1362.1419400140949,Aucune,346,Premium,171
Yaourt Nature,Mode,Lindt,146.75265998520817,Soldes -20%,182,Luxe,185
H&M T-Shirt,Sport,IKEA,505.97629188039843,Soldes -20%,349,Standard,383
Lampe Philips Hue,Mode,IKEA,334.02032461290287,Aucune,497,Standard,364
Parfum Chanel N°5,Mode,Décathlon,141.15139381866484,Soldes -20%,259,Standard,286
Canapé IKEA Ektorp,Alimentation,Nike,27.06686130991899,Aucune,864,Standard,2885
AirPods Pro,Alimentation,Dyson,-47.66754457591533,Aucune,646,Luxe,767
Café Arabica,Sport,Lavazza,-68.69108804595993,Aucune,116,Budget,228
Lampe Philips Hue,Mode,Apple,102.71247493670049,Aucune,174,Standard,2
Aspirateur Dyson V15,Mode,Nike,-49.73609619710949,Aucune,4425,Standard,748
Nike Air Max,Maison,IKEA,301.2843455893887,Aucune,1603,Première Commande,95
Samsung Galaxy S24,Mode,Dyson,140.01484127718174,Aucune,-176,Standard,515
Crème L'Oréal,Alimentation,Adidas,-86.82388740451574,Soldes -50%,166,Budget,231
Yaourt Nature,Mode,Chanel,103.52066108282366,Soldes -20%,33,Première Commande,2068
Chocolat Lindt,Sport,Nike,27.537689117694903,Aucune,294,Budget,951
PlayStation 5,Maison,Nike,-105.91458455911632,Aucune,-117,Standard,177
Aspirateur Dyson V15,Mode,Terra Bio,-131.15040250993565,Aucune,436,Budget,463
MacBook Air M3,Beauté,Apple,169.7912377275899,3 pour 2,537,Budget,420
Ballon Nike,Alimentation,Samsung,33.56163479630615,Soldes -50%,394,Budget,195
Yaourt Nature,Beauté,Nike,276.8603845344647,Black Friday -40%,-57,Premium,-48
Zara Veste Hiver,Mode,H&M,198.54096256258376,Aucune,899,Standard,1803
Vélo Décathlon,Mode,Décathlon,670.0578597278749,Aucune,519,Premium,487
Zara Veste Hiver,Mode,Lindt,3.509106598529222,Aucune,460,Standard,497
MacBook Air M3,Beauté,Terra Bio,-52.6817072788141,Aucune,736,Budget,2164
Zara Veste Hiver,Maison,Danone,1074.7219852567625,Soldes -30%,1816,Budget,3260
Huile d'Olive Bio,Mode,Nike,747.3183485776096,Aucune,447,Premium,2192
Crème L'Oréal,Électronique,Nike,287.0500658629934,Aucune,426,Budget,547
Adidas Survêtement,Sport,Danone,689.22711816569,Soldes -50%,160,Budget,286
PlayStation 5,Beauté,Nike,772.307315002794,Aucune,500,Standard,810
Samsung Galaxy S24,Mode,Philips,-123.82962475098287,Promo Flash -25%,412,Budget,267
Ballon Nike,Électronique,Adidas,734.3244788513477,Aucune,939,Première Commande,505
Samsung Galaxy S24,Maison,Chanel,-97.85666175611385,Cyber Monday -35%,156,Premium,325
Nike Air Max,Alimentation,Lindt,-71.06684213199154,Aucune,614,Premium,299
Ballon Nike,Alimentation,Philips,-44.65165604694394,Aucune,485,Budget,2338
iPhone 15 Pro,Électronique,Apple,102.44514331299169,Soldes -30%,1015,Premium,485
Zara Veste Hiver,Électronique,Nike,376.8986299820218,Aucune,1,Luxe,276
MacBook Air M3,Alimentation,Chanel,10.51846759898347,Aucune,278,Premium,314
Yaourt Nature,Mode,Apple,1163.3597964780188,Aucune,-29,Premium,245
