exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Union Agricole Méditerranée,Domaine Provence Bio,Maroc,Meknès-Fès,0.0,Olives à Huile,225.12844250390975,1574.816079592285,Standard
Ferme Al Baraka,Green Valley Farm,Espagne,Souss-Massa,0.0,Maïs,287.74076768217844,2477.969626653635,Standard
Fattoria Toscana,Mercabarna,Maroc,Meknès-Fès,0.0,Olives à Huile,173.58038697427293,4331.675779057021,Standard
Coopérative Oasis,Domaine Provence Bio,Tunisie,Marrakech-Safi,0.0,Blé,113.05314186577365,3812.1530072091136,Commerce Équitable
Domaine Provence Bio,Union Agricole Méditerranée,Nouvelle-Zélande,Andalousie,0.0,Raisins de Cuve,68.5146490260939,1573.6468497453104,Bio Certifié
Mercabarna,Hacienda El Sol,USA,Provence,0.0,Yaourt,177.74786371147388,1940.2061695139128,Bio Certifié
Green Valley Farm,Hacienda El Sol,Tunisie,Sfax,0.0,Blé,165.4770944101612,2960.2726991629934,Bio Certifié
Dairy Meadows,Green Valley Farm,Espagne,Souss-Massa,0.0,Pommes,99.99893294691849,3324.2821316675,Standard
Cooperative Grains Alliance,Mercabarna,Maroc,São Paulo,0.0,Raisins de Cuve,241.97408290296434,12069.45724038917,Standard
Green Valley Farm,Fattoria Toscana,Italie,Souss-Massa,0.0,Pamplemousses,141.27169357625763,2003.2170853544944,Premium
Mercabarna,Fattoria Toscana,Espagne,Souss-Massa,0.0,Olives à Huile,1.1821324011422831,5599.96182877133,Bio Certifié
Rungis International,Ferme Al Baraka,Maroc,Canterbury,0.0,Raisins de Cuve,95.37608743634041,3490.5949930338943,Standard
Domaine Saada,Cooperative Grains Alliance,Espagne,Sfax,0.0,Raisins de Cuve,18.857227469230587,1796.209669361473,Premium
Green Valley Farm,Marché Wholesale Agadir,France,Provence,0.0,Riz,291.5344131107232,2442.5847709831037,Bio Certifié
Fattoria Toscana,Domaine Saada,USA,Sfax,0.0,Pommes de terre,187.3558585141224,-150.07421338775475,Standard
Mercabarna,Domaine Provence Bio,Tunisie,Provence,0.0,Tomates,846.0337742268437,12288.757078146782,Premium
Coopérative Oasis,Ferme Al Baraka,Brésil,Californie,0.0,Orge,107.73503762404707,1541.6295566394438,Bio Certifié
Marché Wholesale Agadir,Ferme Al Baraka,Maroc,Kansas,0.0,Medjool,122.84177912396363,3951.597304404455,Premium
Union Agricole Méditerranée,Fazenda Brasil,Nouvelle-Zélande,Provence,0.0,Oignons,133.23843875429142,2686.984305406085,Bio Certifié
Fattoria Toscana,Cooperative Grains Alliance,Italie,São Paulo,0.0,Blé,130.79335675595243,1010.7233600504303,Premium
Union Agricole Méditerranée,Fazenda Brasil,Tunisie,Provence,0.0,Orge,1009.1674146408451,2993.197697343618,Bio Certifié
Marché Wholesale Agadir,Rungis International,Maroc,Toscane,0.0,Pommes,217.33465968740592,1537.8122243737796,Standard
Rungis International,Mercabarna,France,Californie,0.0,Tomates,110.316829309269,2548.9245692332465,Commerce Équitable
Rungis International,Union Agricole Méditerranée,Tunisie,Provence,0.0,Salades,174.25561303775768,3610.482877334235,Premium
Marché Wholesale Agadir,Ferme Al Baraka,Espagne,Catalogne,0.0,Orge,920.3483891286451,3891.861144529516,Bio Certifié
Rungis International,Fattoria Toscana,Tunisie,São Paulo,0.0,Yaourt,140.51000222907405,3303.1033020728273,Standard
Union Agricole Méditerranée,Domaine Provence Bio,Maroc,Catalogne,0.0,Lait,175.2308102000496,4749.167587429819,Premium
Dairy Meadows,Dairy Meadows,France,Californie,0.0,Yaourt,114.08608571219227,2682.692007082076,Bio Certifié
Fattoria Toscana,Green Valley Farm,Nouvelle-Zélande,Souss-Massa,0.0,Lait,98.25796284754408,2552.925199956278,Bio Certifié
Dairy Meadows,Ferme Al Baraka,Maroc,Île-de-France,0.0,Riz,90.28103365728404,3934.074436696824,Standard
Ferme Al Baraka,Green Valley Farm,France,Californie,0.0,Bananes,140.94655754786226,1927.8714446633844,Bio Certifié
Dairy Meadows,Dairy Meadows,USA,São Paulo,0.0,Tomates,168.68560963181957,4424.547927636655,Standard
Marché Wholesale Agadir,Green Valley Farm,USA,Marrakech-Safi,0.0,Olives de Table,184.24041396149954,2174.5234593642185,Bio Certifié
Cooperative Grains Alliance,Marché Wholesale Agadir,Espagne,Sfax,0.0,Oranges,152.19872632890193,2202.176272260932,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Maroc,Toscane,0.0,Raisins de Cuve,108.97199532876456,3883.4021232343744,Bio Certifié
Coopérative Oasis,Mercabarna,France,Marrakech-Safi,0.0,Pamplemousses,282.03222476115155,3752.2621869643253,Standard
Domaine Saada,Domaine Provence Bio,Maroc,Île-de-France,0.0,Salades,223.58551808073491,5096.751291703739,Standard
Union Agricole Méditerranée,Hacienda El Sol,Brésil,Andalousie,0.0,Arabica,186.24378362255567,468.50351028977684,Bio Certifié
Mercabarna,Cooperative Grains Alliance,France,Meknès-Fès,0.0,Pamplemousses,173.67907678680285,956.6166409066795,Premium
Ferme Al Baraka,Marché Wholesale Agadir,Maroc,Souss-Massa,0.0,Riz,141.23794101048068,3730.046485742364,Premium
Fazenda Brasil,Dairy Meadows,Espagne,Canterbury,0.0,Oignons,8.264203571941671,13536.42520613081,Bio Certifié
Hacienda El Sol,Cooperative Grains Alliance,Nouvelle-Zélande,Sfax,0.0,Maïs,90.3045590995192,1479.1424182090643,Standard
Green Valley Farm,Domaine Saada,Nouvelle-Zélande,Souss-Massa,0.0,Robusta,272.5131781587458,4724.836038177231,Commerce Équitable
Union Agricole Méditerranée,Hacienda El Sol,Tunisie,Souss-Massa,0.0,Oranges,179.41954989264,3746.755405571347,Bio Certifié
Cooperative Grains Alliance,Fattoria Toscana,USA,Marrakech-Safi,0.0,Riz,621.5143424971284,3555.2467413276736,Standard
Dairy Meadows,Fattoria Toscana,Italie,Toscane,0.0,Fromage,222.15966859766388,5281.830011902757,Standard
Ferme Al Baraka,Green Valley Farm,Espagne,Toscane,0.0,Arabica,165.5028361832779,2062.026224675749,Bio Certifié
Mercabarna,Ferme Al Baraka,Espagne,Marrakech-Safi,0.0,Raisins de Table,161.04922050139805,3619.9130386155134,Commerce Équitable
Mercabarna,Fazenda Brasil,Italie,Sfax,0.0,Medjool,114.73493357322283,1893.8962321887393,Bio Certifié
Green Valley Farm,Coopérative Oasis,Maroc,Kansas,0.0,Robusta,130.3130358140794,1563.5148712288185,Premium
Mercabarna,Fattoria Toscana,Brésil,Provence,0.0,Olives à Huile,1250.9889302248007,950.4960173076765,Standard
Union Agricole Méditerranée,Cooperative Grains Alliance,France,Souss-Massa,0.0,Blé,483.97057245324606,1480.536613599578,Bio Certifié
Hacienda El Sol,Fazenda Brasil,USA,Marrakech-Safi,0.0,Raisins de Table,-3.796126403831316,2306.193818006252,Standard
Hacienda El Sol,Union Agricole Méditerranée,USA,São Paulo,0.0,Arabica,143.570826090067,2054.313447230251,Bio Certifié
Union Agricole Méditerranée,Mercabarna,Nouvelle-Zélande,Souss-Massa,0.0,Yaourt,223.4646493124833,907.4280430517005,Standard
Fattoria Toscana,Mercabarna,Italie,Marrakech-Safi,0.0,Olives de Table,96.52700362112822,7096.364779859341,Premium
Rungis International,Cooperative Grains Alliance,USA,Provence,0.0,Olives à Huile,16.410048495539158,2653.068157603697,Standard
Rungis International,Coopérative Oasis,Espagne,Canterbury,0.0,Yaourt,80.03849953101107,2820.412057404944,Bio Certifié
Mercabarna,Marché Wholesale Agadir,Italie,Andalousie,0.0,Olives de Table,130.1317260826693,3623.081056006159,Premium
Fattoria Toscana,Domaine Saada,Espagne,São Paulo,0.0,Tomates,50.499569815070444,2980.8291883062475,Standard
Dairy Meadows,Mercabarna,USA,Canterbury,0.0,Oranges,178.99588892006977,3090.37638247148,Bio Certifié
Green Valley Farm,Rungis International,Italie,São Paulo,0.0,Raisins de Table,92.25806479664553,1033.9675019746367,Premium
Union Agricole Méditerranée,Fazenda Brasil,France,Canterbury,0.0,Orge,210.9712077834201,965.0090680079093,Bio Certifié
Domaine Provence Bio,Fattoria Toscana,USA,Californie,0.0,Olives à Huile,341.7420098323311,24415.31504353547,Standard
Domaine Provence Bio,Fazenda Brasil,USA,Meknès-Fès,0.0,Fromage,198.60316934446323,1218.6569766319465,Bio Certifié
Coopérative Oasis,Marché Wholesale Agadir,Maroc,Souss-Massa,0.0,Robusta,113.09150777732594,2413.7086338339827,Bio Certifié
Rungis International,Domaine Saada,Nouvelle-Zélande,Canterbury,0.0,Tomates,240.0104763114494,4209.359868556455,Standard
Coopérative Oasis,Fattoria Toscana,Nouvelle-Zélande,Canterbury,0.0,Orge,118.1662842415941,3597.8091528365158,Premium
Hacienda El Sol,Green Valley Farm,Maroc,Meknès-Fès,0.0,Olives à Huile,1181.9598766000563,3116.2789164217866,Standard
Cooperative Grains Alliance,Marché Wholesale Agadir,USA,Meknès-Fès,0.0,Olives à Huile,291.2888673208701,1896.2096099477826,Bio Certifié
Domaine Provence Bio,Union Agricole Méditerranée,France,Provence,0.0,Salades,125.07248907950245,2604.220286688638,Bio Certifié
Coopérative Oasis,Hacienda El Sol,France,Catalogne,0.0,Robusta,157.82528022520546,1730.7043471648033,Standard
Marché Wholesale Agadir,Mercabarna,Tunisie,São Paulo,0.0,Olives à Huile,168.13739037551412,1468.5276469067758,Bio Certifié
Ferme Al Baraka,Green Valley Farm,Espagne,Île-de-France,0.0,Blé,117.44065650177379,2793.938173222765,Standard
Fattoria Toscana,Hacienda El Sol,Italie,Canterbury,0.0,Olives à Huile,63.970301213122156,1407.1400242652867,Standard
Dairy Meadows,Coopérative Oasis,USA,Californie,0.0,Raisins de Table,181.82870289248507,3660.236386936461,Premium
Domaine Provence Bio,Domaine Provence Bio,France,Andalousie,0.0,Fromage,279.0964461004697,3202.2096839977876,Commerce Équitable
Domaine Saada,Union Agricole Méditerranée,Italie,Marrakech-Safi,0.0,Oignons,229.16000279040583,659.0227167027019,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Italie,Californie,0.0,Blé,41.401794192836824,734.4452572171776,Standard
Dairy Meadows,Fattoria Toscana,USA,Catalogne,0.0,Beurre,484.3101567469038,137.45424979376526,Standard
Union Agricole Méditerranée,Fattoria Toscana,France,Meknès-Fès,0.0,Citrons,178.3317381909765,2426.717711974109,Bio Certifié
Coopérative Oasis,Fattoria Toscana,Brésil,São Paulo,0.0,Raisins de Table,10.789909903883213,1856.0242852023478,Standard
Rungis International,Domaine Provence Bio,Tunisie,Toscane,0.0,Oignons,172.71617974454708,-231.00390363934002,Standard
Coopérative Oasis,Coopérative Oasis,France,Souss-Massa,0.0,Lait,36.021876083394105,2630.150577326202,Bio Certifié
Coopérative Oasis,Mercabarna,Maroc,Marrakech-Safi,0.0,Olives à Huile,247.57153253435104,11808.950552117665,Premium
Green Valley Farm,Union Agricole Méditerranée,USA,Catalogne,0.0,Arabica,50.09290950115043,887.7210926732225,Premium
Fattoria Toscana,Marché Wholesale Agadir,Nouvelle-Zélande,Toscane,0.0,Olives de Table,153.22929360325446,2682.639940135321,Commerce Équitable
Green Valley Farm,Dairy Meadows,France,Andalousie,0.0,Citrons,272.53950896094756,11242.149580316209,Bio Certifié
Ferme Al Baraka,Ferme Al Baraka,Maroc,Canterbury,0.0,Blé,123.47788785972813,4922.682317782515,Bio Certifié
Rungis International,Coopérative Oasis,Italie,Toscane,0.0,Olives de Table,934.4938537603709,553.3443987025404,Premium
Green Valley Farm,Fattoria Toscana,Italie,São Paulo,0.0,Riz,19.504218633334503,4541.112919628139,Premium
Dairy Meadows,Marché Wholesale Agadir,Espagne,Sfax,0.0,Fromage,18.514140458078614,1727.8116034343584,Bio Certifié
Green Valley Farm,Domaine Saada,Italie,Souss-Massa,0.0,Riz,708.5847700248431,1335.3129019384917,Bio Certifié
Marché Wholesale Agadir,Ferme Al Baraka,Nouvelle-Zélande,São Paulo,0.0,Riz,244.3148027441287,3720.2736596924897,Commerce Équitable
Fazenda Brasil,Cooperative Grains Alliance,France,São Paulo,0.0,Riz,146.13138377093443,3955.050929986023,Standard
Fazenda Brasil,Fazenda Brasil,USA,Kansas,0.0,Maïs,463.5814652120898,12380.842135725132,Bio Certifié
Domaine Saada,Fazenda Brasil,France,Île-de-France,0.0,Pommes,43.42199403518285,3340.6070914743077,Bio Certifié
Fattoria Toscana,Mercabarna,Espagne,Toscane,0.0,Maïs,67.06352296915082,5651.489089256663,Premium
Dairy Meadows,Union Agricole Méditerranée,Italie,Andalousie,0.0,Pommes,283.79652314388943,2725.4323482794425,Bio Certifié
Ferme Al Baraka,Union Agricole Méditerranée,Tunisie,Marrakech-Safi,0.0,Blé,283.7064906492901,3453.537536095726,Bio Certifié
Coopérative Oasis,Coopérative Oasis,Espagne,Californie,0.0,Pommes de terre,115.64004929711581,3000.4835211827794,Bio Certifié
Union Agricole Méditerranée,Ferme Al Baraka,Maroc,Souss-Massa,0.0,Riz,216.62092953875413,2043.928373326204,Bio Certifié
Fattoria Toscana,Fazenda Brasil,Tunisie,São Paulo,0.0,Riz,260.817551281275,3981.2240142372575,Bio Certifié
Mercabarna,Domaine Provence Bio,USA,Canterbury,0.0,Tomates,174.18026600796696,2247.8063285781777,Standard
Rungis International,Coopérative Oasis,Nouvelle-Zélande,Marrakech-Safi,0.0,Raisins de Table,62.30498472282263,4179.131142075314,Bio Certifié
Hacienda El Sol,Fazenda Brasil,USA,Californie,0.0,Bananes,182.66198530540223,3143.9881792543183,Premium
Green Valley Farm,Ferme Al Baraka,Maroc,Souss-Massa,0.0,Courgettes,155.3998640531648,2145.7112775174037,Commerce Équitable
Fattoria Toscana,Union Agricole Méditerranée,Tunisie,Provence,0.0,Raisins de Cuve,277.3341768628248,5667.964578051037,Commerce Équitable
Domaine Saada,Coopérative Oasis,Tunisie,São Paulo,0.0,Medjool,1064.7159015752254,2898.238954815803,Premium
Union Agricole Méditerranée,Dairy Meadows,Nouvelle-Zélande,Kansas,0.0,Robusta,168.5874492706492,1608.8016572049673,Standard
Mercabarna,Hacienda El Sol,Brésil,Sfax,0.0,Olives à Huile,281.5621362756779,3008.271610593411,Standard
Ferme Al Baraka,Rungis International,Nouvelle-Zélande,Souss-Massa,0.0,Pommes,117.68220185018265,3828.040079581217,Standard
Rungis International,Dairy Meadows,Tunisie,Toscane,0.0,Medjool,98.10540789065428,4194.231998479949,Bio Certifié
Hacienda El Sol,Union Agricole Méditerranée,USA,São Paulo,0.0,Olives à Huile,75.02819086055973,4606.87446073285,Bio Certifié
Union Agricole Méditerranée,Rungis International,Tunisie,Marrakech-Safi,0.0,Olives de Table,290.7839948647742,2461.4356844237227,Standard
Ferme Al Baraka,Mercabarna,Espagne,Canterbury,0.0,Medjool,38.960458353590994,3361.5129171836443,Bio Certifié
Mercabarna,Fattoria Toscana,France,Catalogne,0.0,Arabica,134.45537908179045,2943.725848523987,Bio Certifié
Ferme Al Baraka,Dairy Meadows,Brésil,Provence,0.0,Raisins de Cuve,65.46362743269894,4067.54297365001,Bio Certifié
Mercabarna,Rungis International,Tunisie,Souss-Massa,0.0,Raisins de Table,582.8584007645109,2302.498913116296,Standard
Green Valley Farm,Domaine Provence Bio,Maroc,Sfax,0.0,Raisins de Table,264.92388700696745,1784.697617110532,Standard
Cooperative Grains Alliance,Fattoria Toscana,Espagne,Souss-Massa,0.0,Oignons,78.96008736120844,5790.803513153693,Standard
Marché Wholesale Agadir,Rungis International,Maroc,Provence,0.0,Bananes,83.35400760160547,5438.673956730399,Bio Certifié
Domaine Saada,Mercabarna,France,Canterbury,0.0,Raisins de Table,65.2980078824936,3837.024293685594,Bio Certifié
Dairy Meadows,Domaine Provence Bio,France,Souss-Massa,0.0,Raisins de Cuve,242.73826279170032,1126.4292368830233,Standard
Union Agricole Méditerranée,Rungis International,Espagne,São Paulo,0.0,Maïs,226.67393461305534,-392.5484768998374,Standard
Cooperative Grains Alliance,Fattoria Toscana,Brésil,Catalogne,0.0,Raisins de Table,134.51869900003675,11868.954475423267,Standard
Hacienda El Sol,Mercabarna,France,São Paulo,0.0,Citrons,-10.291053213345613,7553.500894502626,Bio Certifié
Fattoria Toscana,Fazenda Brasil,Espagne,São Paulo,0.0,Lait,35.36231732377592,2322.553783384788,Premium
Fazenda Brasil,Domaine Saada,France,Île-de-France,0.0,Raisins de Cuve,63.28437801683122,1972.4197334100406,Commerce Équitable
Mercabarna,Hacienda El Sol,Maroc,Souss-Massa,0.0,Blé,1388.5731617488784,27280.98563465196,Premium
Rungis International,Green Valley Farm,USA,Sfax,0.0,Raisins de Cuve,179.71560552758592,2606.9089357181947,Bio Certifié
Rungis International,Cooperative Grains Alliance,Maroc,Toscane,0.0,Yaourt,671.075551247371,3206.9030208375157,Premium
Rungis International,Union Agricole Méditerranée,Brésil,Meknès-Fès,0.0,Raisins de Cuve,250.7389605711088,4171.928862369713,Standard
Fazenda Brasil,Domaine Saada,Tunisie,Provence,0.0,Robusta,287.28025753088775,3635.5176088989783,Bio Certifié
Mercabarna,Domaine Provence Bio,Espagne,Meknès-Fès,0.0,Carottes,145.6586446501318,3092.291647718158,Premium
Ferme Al Baraka,Fazenda Brasil,France,Californie,0.0,Deglet Nour,118.72412337232889,2658.655030289933,Bio Certifié
Coopérative Oasis,Domaine Saada,Tunisie,Sfax,0.0,Deglet Nour,166.37837755071143,1121.799411629781,Premium
Domaine Provence Bio,Fattoria Toscana,Italie,Souss-Massa,0.0,Salades,-24.995682214637746,3216.259408411317,Premium
Union Agricole Méditerranée,Green Valley Farm,France,Sfax,0.0,Olives de Table,94.84760975693649,19.433502458325165,Standard
Fazenda Brasil,Domaine Saada,Italie,Kansas,0.0,Salades,12.372335560517428,-267.9627113951665,Standard
Union Agricole Méditerranée,Hacienda El Sol,Tunisie,Kansas,0.0,Oignons,105.69212566951985,338.3131326774361,Bio Certifié
Mercabarna,Union Agricole Méditerranée,Maroc,Île-de-France,0.0,Raisins de Table,-53.03498621947487,747.9756169827529,Bio Certifié
Fazenda Brasil,Fattoria Toscana,Nouvelle-Zélande,Canterbury,0.0,Olives à Huile,605.940271390521,1033.1475270830165,Standard
Coopérative Oasis,Domaine Provence Bio,USA,Andalousie,0.0,Carottes,145.29377967620505,3097.783308991757,Bio Certifié
Fattoria Toscana,Fattoria Toscana,France,Provence,0.0,Tomates,245.47455052437869,201.71917866462218,Bio Certifié
Dairy Meadows,Domaine Provence Bio,USA,Andalousie,0.0,Citrons,302.04941413212964,11254.87542188416,Bio Certifié
Hacienda El Sol,Domaine Saada,Maroc,São Paulo,0.0,Citrons,64.53012718149634,18726.62057972412,Premium
Domaine Saada,Domaine Provence Bio,Italie,Catalogne,0.0,Olives à Huile,142.15051847166941,4776.004280548536,Standard
Green Valley Farm,Marché Wholesale Agadir,Espagne,Catalogne,0.0,Maïs,30.30709297031991,1165.0701385651532,Standard
Fattoria Toscana,Domaine Provence Bio,USA,Kansas,0.0,Olives à Huile,503.59043772085,1582.1250243831769,Bio Certifié
Union Agricole Méditerranée,Fazenda Brasil,France,Souss-Massa,0.0,Raisins de Cuve,584.9955396717058,1147.0683053994126,Bio Certifié
Fazenda Brasil,Hacienda El Sol,USA,Meknès-Fès,0.0,Riz,54.44461227604707,2369.947248203818,Standard
Rungis International,Hacienda El Sol,Maroc,Meknès-Fès,0.0,Raisins de Table,460.7164522831833,1800.2749390420902,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Toscane,0.0,Blé,81.56943788969498,1765.0751230643066,Bio Certifié
Cooperative Grains Alliance,Ferme Al Baraka,Maroc,Californie,0.0,Deglet Nour,575.7360662260475,21431.291325246006,Bio Certifié
Dairy Meadows,Marché Wholesale Agadir,Italie,Marrakech-Safi,0.0,Lait,108.53636680618507,4367.275593288926,Commerce Équitable
Ferme Al Baraka,Union Agricole Méditerranée,USA,Catalogne,0.0,Courgettes,177.4357897458935,3764.4700576968607,Commerce Équitable
Rungis International,Cooperative Grains Alliance,Espagne,Catalogne,0.0,Tomates,90.0781381858398,789.7548370299533,Standard
Green Valley Farm,Mercabarna,Nouvelle-Zélande,Canterbury,0.0,Raisins de Table,158.35751067810145,20796.29023282771,Premium
Fazenda Brasil,Domaine Saada,USA,Souss-Massa,0.0,Riz,143.46948259804634,3017.255633627109,Premium
Domaine Saada,Domaine Saada,Espagne,Souss-Massa,0.0,Robusta,281.1327268600777,3649.3375953040886,Premium
Fazenda Brasil,Domaine Provence Bio,France,São Paulo,0.0,Yaourt,202.93301876802772,2565.1469198615678,Bio Certifié
Rungis International,Fazenda Brasil,Espagne,Île-de-France,0.0,Raisins de Cuve,67.47159055012376,1899.1074370656406,Standard
Fazenda Brasil,Union Agricole Méditerranée,Maroc,Provence,0.0,Robusta,167.7416768326325,3610.447207032019,Bio Certifié
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Toscane,0.0,Tomates,261.7755674187979,3664.239000769702,Standard
Mercabarna,Cooperative Grains Alliance,Italie,Andalousie,0.0,Raisins de Table,42.668425190965976,1101.1586196700953,Premium
Domaine Provence Bio,Dairy Meadows,France,Canterbury,0.0,Pamplemousses,542.2302694683254,14027.03698366095,Commerce Équitable
Domaine Saada,Ferme Al Baraka,France,Toscane,0.0,Citrons,474.05809988919964,3120.962032541487,Standard
Cooperative Grains Alliance,Ferme Al Baraka,USA,Californie,0.0,Orge,912.3894192031584,11183.895990928231,Standard
Domaine Provence Bio,Mercabarna,France,Meknès-Fès,0.0,Tomates,485.4132461324412,346.4877732341786,Commerce Équitable
Domaine Saada,Fazenda Brasil,Italie,São Paulo,0.0,Blé,437.4314551319772,2956.1982676620564,Standard
Fazenda Brasil,Coopérative Oasis,Maroc,Marrakech-Safi,0.0,Oranges,58.16577203726047,2305.03444905615,Bio Certifié
Domaine Saada,Fazenda Brasil,Nouvelle-Zélande,Canterbury,0.0,Raisins de Cuve,160.03173311080636,5318.455704180162,Premium
Rungis International,Domaine Provence Bio,France,Souss-Massa,0.0,Orge,241.1412775195199,2143.7666571501145,Standard
Dairy Meadows,Hacienda El Sol,USA,Toscane,0.0,Robusta,513.6603629257625,23722.105330257782,Standard
Fattoria Toscana,Domaine Provence Bio,Nouvelle-Zélande,Marrakech-Safi,0.0,Oignons,88.8622113964278,3224.386516607795,Premium
