id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000811,Villa,202,7,5,1,Fioul,Moyen,G,2642153,Oui,Non
BIEN_000420,Penthouse,153,7,1,1,Pompe à chaleur,Haut standing,A,1861709,Oui,Non
BIEN_000906,Maison,102,5,5,4,Fioul,Moyen,F,1128558,Oui,Non
BIEN_000615,Appartement,232,8,2,0,Pompe à chaleur,Luxe,B,2765623,Oui,Non
BIEN_000739,Duplex,184,6,1,3,Gaz,Haut standing,A,4166950,Non,Non
BIEN_000845,Appartement,255,4,0,1,Électrique,Luxe,A,3063610,Non,Non
BIEN_000374,Maison,212,7,4,2,Gaz,Haut standing,A,4126532,Oui,Non
BIEN_000859,Villa,365,5,3,1,Gaz,Haut standing,E,7026191,Non,Non
BIEN_000515,Villa,280,5,2,1,Électrique,Standard,G,5271648,Oui,Oui
BIEN_000374,Studio,202,6,5,5,Pompe à chaleur,Standard,A,5926248,Non,Non
BIEN_000489,Maison,461,0,5,3,Climatisation réversible,Standard,G,6110847,Oui,Oui
BIEN_000197,Appartement,251,4,4,1,Gaz,Haut standing,G,2786431,Non,Non
BIEN_000214,Studio,95,7,0,1,Gaz,Luxe,G,1369660,Oui,Non
BIEN_000749,Appartement,100,8,2,2,Électrique,Standard,B,7387424,Oui,Non
BIEN_000315,Appartement,195,4,1,3,Aucun,Haut standing,G,2161121,Oui,Oui
BIEN_000166,Loft,188,4,2,1,Pompe à chaleur,Haut standing,D,5876471,Oui,Non
BIEN_000743,Appartement,60,2,2,1,Pompe à chaleur,Moyen,E,4463491,Oui,Non
BIEN_000562,Duplex,222,3,0,2,Électrique,Moyen,A,3127107,Oui,Non
BIEN_000860,Studio,235,7,5,1,Gaz,Haut standing,E,3444621,Oui,Non
BIEN_000581,Appartement,6748,5,3,5,Fioul,Moyen,D,5252976,Oui,Oui
BIEN_000716,Villa,226,7,4,1,Gaz,Moyen,D,1083859,Oui,Oui
BIEN_000958,Duplex,143,3,0,1,Gaz,Haut standing,D,2610462,Non,Non
BIEN_000919,Appartement,421,2,1,1,Pompe à chaleur,Haut standing,F,3047824,Oui,Non
BIEN_000391,Appartement,120,3,2,1,Électrique,Haut standing,Non renseigné,4432646,Non,Non
BIEN_000538,Appartement,215,4,3,4,Électrique,Standard,B,3734880,Oui,Non
BIEN_000523,Appartement,5245,3,1,1,Électrique,Haut standing,B,4129152,Non,Non
BIEN_000535,Appartement,279,4,3,1,Gaz,Haut standing,B,3644676,Non,Non
BIEN_000660,Villa,213,7,3,1,Chauffage central,Moyen,C,4215506,Oui,Oui
BIEN_000305,Terrain,149,6,3,1,Gaz,Moyen,D,6013435,Oui,Oui
BIEN_000575,Villa,173,6,2,2,Électrique,Moyen,A,980399,Oui,Oui
BIEN_000167,Villa,199,6,3,2,Gaz,Haut standing,A,4374849,Oui,Non
BIEN_000093,Duplex,86,0,2,4,Chauffage central,Haut standing,G,5514727,Non,Non
BIEN_000744,Appartement,481,3,1,1,Chauffage central,Standard,Non renseigné,3688759,Oui,Oui
BIEN_000224,Appartement,142,6,2,1,Autre,Moyen,D,3070897,Oui,Non
BIEN_000677,Duplex,203,2,3,3,Pompe à chaleur,Standard,F,-40202,Non,Non
BIEN_000054,Appartement,148,6,4,1,Climatisation réversible,Haut standing,G,3210488,Oui,Non
BIEN_000769,Villa,253,7,1,3,Pompe à chaleur,Haut standing,E,-90222,Oui,Oui
BIEN_000048,Studio,36,5,3,1,Électrique,Standard,G,4975527,Oui,Non
BIEN_000872,Loft,190,0,4,1,Électrique,Standard,G,4653307,Oui,Non
BIEN_000584,Maison,99,6,0,1,Chauffage central,Haut standing,A,2176857,Oui,Oui
BIEN_000770,Appartement,104,3,2,1,Gaz,Moyen,C,3286185,Non,Non
BIEN_000478,Appartement,251,4,2,1,Fioul,Haut standing,B,2564631,Non,Non
BIEN_000108,Appartement,132,1,0,1,Pompe à chaleur,Haut standing,B,3290586,Non,Non
BIEN_000071,Maison,223,4,4,4,Électrique,Standard,G,3546406,Oui,Oui
BIEN_000729,Villa,249,7,2,5,Électrique,Haut standing,A,3870505,Oui,Oui
BIEN_000259,Appartement,141,7,4,1,Pompe à chaleur,Standard,F,4167355,Non,Non
BIEN_000055,Appartement,251,3,3,4,Pompe à chaleur,Haut standing,G,2982233,Non,Oui
BIEN_000626,Appartement,142,5,2,1,Autre,Standard,G,3517601,Oui,Non
BIEN_000943,Villa,204,6,2,2,Chauffage central,Standard,E,7157363,Non,Non
BIEN_000723,Villa,226,6,3,3,Chauffage central,Moyen,D,2143049,Oui,Oui
BIEN_000045,Villa,72,3,4,1,Aucun,Haut standing,E,2453751,Non,Non
BIEN_000613,Appartement,374,2,4,2,Pompe à chaleur,Standard,F,2503642,Oui,Non
BIEN_000909,Duplex,267,5,2,3,Chauffage central,Luxe,A,3005759,Non,Non
BIEN_000141,Villa,78,4,3,1,Pompe à chaleur,Haut standing,D,3543064,Oui,Non
BIEN_000476,Appartement,113,3,5,1,Électrique,Moyen,E,5927515,Non,Non
BIEN_000828,Appartement,237,4,3,2,Gaz,Haut standing,F,3780660,Non,Non
BIEN_000743,Maison,170,3,3,1,Climatisation réversible,Moyen,F,3688161,Oui,Non
BIEN_000809,Villa,220,7,3,1,Pompe à chaleur,Standard,E,2443033,Non,Oui
BIEN_000570,Appartement,228,3,2,3,Électrique,Standard,B,4898798,Oui,Non
BIEN_000263,Maison,178,0,1,3,Fioul,Haut standing,D,3407984,Non,Non
BIEN_000134,Studio,34,4,0,1,Pompe à chaleur,Standard,G,2896167,Non,Non
BIEN_000464,Appartement,106,4,3,0,Chauffage central,Haut standing,D,1352492,Oui,Non
BIEN_000675,Appartement,141,4,1,1,Pompe à chaleur,Haut standing,C,1765293,Non,Non
BIEN_000065,Loft,156,4,2,3,Chauffage central,Haut standing,F,4159290,Oui,Non
BIEN_000416,Studio,110,5,5,4,Pompe à chaleur,Haut standing,E,6120375,Oui,Non
BIEN_000944,Appartement,192,1,2,2,Électrique,Luxe,B,3929825,Oui,Non
BIEN_000712,Appartement,190,5,2,1,Pompe à chaleur,Moyen,A,2348923,Non,Non
BIEN_000821,Terrain,193,4,0,1,Climatisation réversible,Haut standing,G,3709760,Non,Non
BIEN_000060,Appartement,102,1,3,1,Fioul,Haut standing,G,506841,Non,Non
BIEN_000476,Appartement,39,1,3,1,Électrique,Haut standing,E,1350457,Non,Non
BIEN_000567,Villa,327,3,3,3,Chauffage central,Haut standing,F,2892066,Non,Non
BIEN_000803,Appartement,143,5,3,4,Fioul,Moyen,F,3251625,Oui,Non
BIEN_000455,Appartement,70,3,4,1,Électrique,Haut standing,Non renseigné,3646728,Non,Non
BIEN_000893,Maison,251,1,3,3,Fioul,Haut standing,C,4794003,Oui,Oui
BIEN_000148,Appartement,158,3,1,1,Gaz,Haut standing,G,4128504,Oui,Oui
BIEN_000685,Appartement,154,5,1,3,Aucun,Moyen,G,2004429,Non,Non
BIEN_000222,Studio,162,1,3,1,Chauffage central,Haut standing,G,5003905,Oui,Non
BIEN_000458,Appartement,289,6,5,1,Pompe à chaleur,Haut standing,B,3027692,Non,Non
BIEN_000114,Villa,296,5,3,1,Chauffage central,Haut standing,E,4646035,Oui,Non
BIEN_000845,Maison,254,4,5,1,Chauffage central,Moyen,D,1402529,Oui,Oui
BIEN_000977,Appartement,203,4,5,3,Pompe à chaleur,Haut standing,E,4703724,Non,Oui
BIEN_000743,Appartement,200,2,4,1,Aucun,Moyen,E,4861230,Non,Non
BIEN_000079,Appartement,136,6,3,5,Électrique,Luxe,F,2554790,Oui,Oui
BIEN_000372,Studio,99,0,4,1,Fioul,Haut standing,C,2006885,Non,Non
BIEN_000632,Villa,177,7,3,1,Gaz,Standard,D,5920346,Oui,Oui
BIEN_000753,Appartement,52,4,3,1,Gaz,Haut standing,B,3958166,Non,Oui
BIEN_000320,Studio,23,3,2,1,Gaz,Luxe,G,2726918,Oui,Non
BIEN_000133,Villa,466,4,3,3,Électrique,Haut standing,D,3040755,Oui,Oui
BIEN_000406,Duplex,238,6,4,1,Pompe à chaleur,Luxe,G,2671828,Oui,Oui
BIEN_000138,Villa,140,5,3,3,Gaz,Moyen,E,5672890,Oui,Oui
BIEN_000942,Appartement,100,1,0,1,Aucun,Standard,D,2374468,Non,Non
BIEN_000077,Villa,275,3,3,2,Chauffage central,Luxe,C,5856704,Oui,Oui
BIEN_000187,Appartement,167,3,2,0,Chauffage central,Standard,F,2164673,Oui,Oui
BIEN_000908,Maison,57,3,2,1,Gaz,Moyen,F,2030899,Oui,Non
BIEN_000269,Appartement,236,3,0,2,Fioul,Standard,A,361542,Oui,Non
BIEN_000238,Appartement,50,5,2,3,Électrique,Haut standing,D,3508,Non,Non
BIEN_000421,Studio,49,1,0,1,Gaz,Standard,C,2113956,Non,Non
BIEN_000375,Appartement,294,7,5,1,Chauffage central,Haut standing,D,1984038,Oui,Oui
BIEN_000632,Villa,160,3,3,2,Gaz,Standard,E,3762119,Non,Non
BIEN_000544,Maison,223,5,3,4,Gaz,Haut standing,Non renseigné,4889341,Oui,Non
BIEN_000722,Villa,366,4,3,0,Électrique,Moyen,G,4183853,Non,Oui
BIEN_000548,Appartement,240,6,0,1,Électrique,Haut standing,G,1310478,Non,Non
BIEN_000538,Appartement,88,3,2,1,Pompe à chaleur,Haut standing,E,-45124,Non,Non
BIEN_000236,Maison,198,7,2,4,Électrique,Haut standing,G,3262579,Oui,Oui
BIEN_000785,Maison,189,6,1,2,Pompe à chaleur,Luxe,C,4246941,Oui,Oui
BIEN_000283,Terrain,191,3,1,1,Pompe à chaleur,Luxe,F,5776954,Oui,Non
BIEN_000288,Maison,276,5,3,1,Électrique,Haut standing,B,4992731,Oui,Non
BIEN_000902,Duplex,189,5,1,3,Fioul,Haut standing,G,2766769,Oui,Non
BIEN_000186,Maison,238,3,5,5,Chauffage central,Haut standing,A,1188786,Oui,Oui
BIEN_000171,Penthouse,154,3,5,3,Chauffage central,Haut standing,G,4943131,Oui,Non
BIEN_000497,Loft,78,5,0,1,Gaz,Haut standing,F,4847513,Non,Non
BIEN_000626,Villa,199,7,2,3,Aucun,Haut standing,A,3385117,Non,Non
BIEN_000187,Villa,127,1,3,0,Électrique,Standard,D,2490269,Non,Non
BIEN_000304,Duplex,185,8,1,2,Autre,Haut standing,B,3614214,Oui,Non
BIEN_000685,Studio,181,5,3,1,Gaz,Moyen,E,2840314,Oui,Non
BIEN_000331,Villa,243,4,4,1,Pompe à chaleur,Moyen,D,4898753,Oui,Oui
BIEN_000991,Appartement,62,7,2,1,Électrique,Moyen,G,4950892,Oui,Non
BIEN_000948,Villa,138,3,5,2,Aucun,Haut standing,D,4362942,Oui,Non
BIEN_000095,Studio,119,3,2,1,Électrique,Haut standing,G,3428679,Non,Non
BIEN_000557,Maison,199,5,3,5,Gaz,Haut standing,B,4625985,Oui,Non
BIEN_000817,Maison,215,4,5,3,Gaz,Standard,C,5295337,Oui,Oui
BIEN_000850,Villa,170,8,4,1,Aucun,Standard,E,2198558,Oui,Non
BIEN_000442,Appartement,77,0,3,1,Électrique,Moyen,B,1004521,Oui,Non
BIEN_000186,Maison,382,3,2,5,Pompe à chaleur,Haut standing,E,2481735,Non,Oui
BIEN_000430,Appartement,4068,0,2,5,Pompe à chaleur,Standard,Non renseigné,3956333,Oui,Oui
BIEN_000964,Maison,210,7,3,1,Chauffage central,Standard,D,2574822,Oui,Oui
BIEN_000612,Appartement,174,6,4,1,Pompe à chaleur,Moyen,D,3355389,Oui,Non
BIEN_000049,Villa,268,6,3,1,Électrique,Haut standing,G,3006450,Oui,Oui
BIEN_000887,Appartement,242,6,1,3,Pompe à chaleur,Haut standing,G,5767761,Oui,Non
BIEN_000546,Maison,213,6,4,0,Chauffage central,Moyen,B,6785300,Oui,Oui
BIEN_000577,Appartement,148,4,2,3,Gaz,Haut standing,G,5159963,Non,Non
BIEN_000529,Appartement,142,3,2,4,Électrique,Luxe,D,1508544,Oui,Oui
BIEN_000114,Appartement,392,4,3,1,Électrique,Standard,G,1817044,Oui,Non
BIEN_000596,Maison,236,4,0,1,Électrique,Moyen,B,3433548,Non,Non
BIEN_000995,Maison,240,0,0,4,Électrique,Haut standing,G,2933947,Non,Oui
BIEN_000899,Studio,234,2,2,1,Climatisation réversible,Haut standing,G,1714977,Non,Non
BIEN_000417,Villa,336,1,0,1,Gaz,Luxe,C,919645,Non,Oui
BIEN_000827,Duplex,252,7,5,2,Fioul,Haut standing,C,4017657,Oui,Non
BIEN_000469,Appartement,224,4,3,4,Électrique,Haut standing,D,5119717,Non,Oui
BIEN_000578,Studio,344,1,2,1,Aucun,Moyen,C,3638648,Oui,Non
BIEN_000743,Appartement,237,4,0,1,Électrique,Haut standing,E,1857527,Non,Non
BIEN_000157,Loft,130,4,4,2,Électrique,Moyen,C,2788092,Non,Non
BIEN_000695,Studio,226,1,3,3,Électrique,Moyen,C,3680234,Non,Oui
BIEN_000336,Studio,43,3,0,3,Autre,Moyen,B,4231262,Non,Oui
BIEN_000780,Villa,465,3,0,2,Pompe à chaleur,Luxe,G,3523923,Oui,Oui
BIEN_000224,Appartement,162,3,2,1,Chauffage central,Moyen,B,4298334,Oui,Non
BIEN_000220,Duplex,160,4,1,1,Électrique,Haut standing,F,1318340,Oui,Non
BIEN_000186,Villa,172,5,3,3,Chauffage central,Moyen,D,4297947,Oui,Oui
BIEN_000067,Villa,222,8,0,2,Gaz,Moyen,F,6218498,Oui,Oui
BIEN_000641,Appartement,239,5,4,1,Électrique,Haut standing,B,4602289,Oui,Non
BIEN_000658,Villa,99,2,3,1,Pompe à chaleur,Standard,E,5733460,Oui,Non
BIEN_000258,Maison,121,5,3,3,Gaz,Standard,E,5968037,Non,Non
BIEN_000376,Appartement,182,7,3,3,Pompe à chaleur,Luxe,B,4099685,Oui,Oui
BIEN_000302,Maison,77,4,0,1,Électrique,Standard,F,1425069,Non,Non
BIEN_000085,Appartement,189,3,0,2,Climatisation réversible,Moyen,B,452597,Oui,Non
BIEN_000171,Maison,234,6,2,4,Fioul,Standard,E,2858638,Oui,Non
BIEN_000141,Appartement,137,6,5,2,Chauffage central,Luxe,F,1185068,Non,Oui
BIEN_000987,Villa,171,3,1,5,Pompe à chaleur,Haut standing,C,1976711,Oui,Non
BIEN_000219,Terrain,68,2,3,2,Pompe à chaleur,Haut standing,E,2982487,Non,Non
BIEN_000024,Maison,195,2,4,2,Pompe à chaleur,Standard,C,831277,Oui,Oui
BIEN_000252,Villa,215,8,3,4,Pompe à chaleur,Luxe,E,5448573,Oui,Oui
BIEN_000251,Duplex,186,4,2,3,Pompe à chaleur,Standard,G,1042337,Oui,Non
BIEN_000367,Appartement,187,6,3,1,Électrique,Moyen,G,1245163,Non,Oui
BIEN_000152,Maison,217,4,0,1,Gaz,Standard,G,2363494,Oui,Non
BIEN_000999,Appartement,-10,5,3,1,Électrique,Standard,G,3202972,Non,Non
BIEN_000014,Appartement,67,1,3,1,Pompe à chaleur,Moyen,F,4218516,Non,Non
BIEN_000167,Terrain,172,6,3,1,Gaz,Haut standing,C,2063836,Non,Oui
BIEN_000174,Appartement,216,4,5,1,Gaz,Haut standing,C,3554774,Non,Non
BIEN_000391,Appartement,100,4,2,2,Autre,Moyen,B,239252,Non,Non
BIEN_000881,Villa,223,3,1,1,Électrique,Moyen,F,1260527,Non,Non
BIEN_000228,Appartement,239,6,3,1,Fioul,Moyen,D,5015528,Non,Non
BIEN_000076,Appartement,219,5,2,2,Électrique,Standard,A,4682070,Oui,Oui
BIEN_000382,Maison,292,4,3,3,Fioul,Haut standing,B,4184650,Non,Oui
BIEN_000917,Appartement,243,5,3,2,Chauffage central,Moyen,G,4813307,Oui,Oui
BIEN_000788,Villa,192,5,1,5,Pompe à chaleur,Haut standing,G,1992866,Oui,Oui
BIEN_000945,Appartement,181,4,1,1,Gaz,Haut standing,F,3986829,Oui,Oui
BIEN_000441,Villa,90,6,0,2,Électrique,Haut standing,E,2867069,Non,Non
BIEN_000532,Duplex,199,6,5,4,Électrique,Standard,A,3215466,Oui,Non
BIEN_000214,Penthouse,311,3,4,3,Pompe à chaleur,Luxe,D,4403408,Oui,Non
BIEN_000896,Maison,182,6,5,1,Climatisation réversible,Haut standing,B,4333672,Oui,Non
BIEN_000791,Villa,218,8,0,1,Gaz,Standard,F,5018351,Non,Non
BIEN_000478,Duplex,196,3,3,3,Climatisation réversible,Haut standing,G,4347434,Oui,Oui
BIEN_000817,Villa,87,5,0,3,Gaz,Haut standing,D,4981418,Oui,Non
BIEN_000633,Appartement,125,3,3,3,Électrique,Haut standing,B,4178400,Oui,Oui
BIEN_000720,Studio,27,3,0,3,Autre,Moyen,B,1353448,Non,Non
BIEN_000132,Appartement,203,7,0,1,Électrique,Haut standing,G,2175236,Oui,Oui
BIEN_000214,Villa,303,4,3,2,Pompe à chaleur,Luxe,A,4634166,Oui,Oui
BIEN_000369,Appartement,452,1,5,4,Chauffage central,Standard,D,6023333,Oui,Non
BIEN_000480,Maison,428,5,2,1,Autre,Moyen,C,4777815,Oui,Oui
BIEN_000640,Loft,197,3,3,3,Électrique,Haut standing,G,2999607,Non,Non
BIEN_000623,Appartement,97,7,0,1,Pompe à chaleur,Haut standing,G,689803,Non,Non
BIEN_000726,Villa,263,4,5,2,Fioul,Moyen,G,3802643,Oui,Non
BIEN_000761,Villa,231,5,1,5,Électrique,Moyen,Non renseigné,4169165,Oui,Non
BIEN_000656,Terrain,4,4,1,1,Climatisation réversible,Haut standing,F,4181442,Non,Non
BIEN_000968,Duplex,422,5,1,4,Climatisation réversible,Haut standing,B,2800577,Oui,Oui
BIEN_000759,Appartement,6,0,2,1,Électrique,Standard,D,2991839,Non,Non
BIEN_000965,Maison,175,1,0,2,Chauffage central,Haut standing,D,821469,Non,Non
BIEN_000758,Maison,47,1,2,1,Électrique,Moyen,B,452285,Non,Non
BIEN_000646,Appartement,114,2,2,1,Pompe à chaleur,Haut standing,F,2203412,Oui,Oui
BIEN_000487,Maison,222,3,2,1,Électrique,Luxe,F,813590,Oui,Non
BIEN_000237,Maison,220,1,2,1,Fioul,Standard,C,1117527,Non,Non
BIEN_000296,Appartement,74,5,0,1,Fioul,Moyen,G,1901995,Oui,Non
BIEN_000830,Maison,312,3,0,2,Pompe à chaleur,Standard,G,583983,Oui,Oui
BIEN_000720,Appartement,106,3,3,3,Fioul,Moyen,C,3876535,Oui,Oui
BIEN_000326,Studio,110,4,1,1,Électrique,Haut standing,D,1227201,Oui,Non
BIEN_000937,Penthouse,163,6,1,1,Gaz,Standard,A,453450,Oui,Oui
BIEN_000388,Maison,150,1,0,1,Gaz,Haut standing,F,2610921,Non,Non
BIEN_000687,Villa,253,4,4,2,Chauffage central,Moyen,D,4098592,Oui,Oui
BIEN_000918,Appartement,258,3,2,1,Fioul,Standard,E,1661577,Oui,Non
BIEN_000574,Appartement,88,5,5,5,Chauffage central,Haut standing,E,4481411,Oui,Non
BIEN_000688,Appartement,177,3,1,2,Électrique,Haut standing,D,7010087,Non,Non
BIEN_000565,Maison,271,7,3,3,Gaz,Haut standing,E,3777718,Oui,Non
BIEN_000092,Loft,168,7,5,1,Gaz,Standard,F,2487018,Oui,Non
BIEN_000279,Appartement,125,3,0,1,Électrique,Moyen,G,4045777,Non,Non
BIEN_000087,Appartement,150,6,0,2,Gaz,Haut standing,B,5178014,Oui,Non
BIEN_000820,Appartement,151,4,1,1,Pompe à chaleur,Haut standing,G,3759672,Non,Oui
BIEN_000522,Duplex,179,3,0,2,Électrique,Moyen,F,4990612,Non,Oui
BIEN_000479,Appartement,163,1,2,3,Pompe à chaleur,Luxe,A,2652971,Oui,Non
BIEN_000826,Villa,195,3,1,3,Chauffage central,Haut standing,G,5071888,Oui,Non
BIEN_000348,Villa,218,5,3,3,Pompe à chaleur,Haut standing,C,3349970,Oui,Non
BIEN_000979,Appartement,188,1,2,1,Pompe à chaleur,Haut standing,D,4723787,Non,Non
BIEN_000050,Appartement,217,5,2,1,Pompe à chaleur,Moyen,B,6455722,Non,Non
BIEN_000774,Studio,385,4,0,1,Pompe à chaleur,Moyen,F,6170644,Non,Oui
BIEN_000729,Appartement,67,0,2,3,Pompe à chaleur,Haut standing,F,4078001,Non,Non
BIEN_000668,Villa,290,4,3,3,Gaz,Moyen,G,1617062,Oui,Non
BIEN_000758,Maison,192,6,5,2,Fioul,Haut standing,E,884679,Oui,Oui
BIEN_000077,Appartement,120,7,3,1,Gaz,Haut standing,D,1385366,Oui,Oui
BIEN_000144,Loft,211,5,2,5,Pompe à chaleur,Haut standing,Non renseigné,3023022,Oui,Oui
BIEN_000707,Villa,239,4,0,1,Chauffage central,Standard,D,4079565,Oui,Non
BIEN_000214,Loft,137,1,4,1,Gaz,Moyen,B,1710741,Non,Oui
BIEN_000870,Appartement,81,3,0,1,Pompe à chaleur,Haut standing,A,4942452,Non,Non
BIEN_000092,Appartement,256,7,1,1,Pompe à chaleur,Haut standing,D,4998882,Oui,Non
BIEN_000035,Villa,408,5,5,3,Chauffage central,Haut standing,B,3653527,Oui,Oui
BIEN_000430,Appartement,194,2,2,1,Gaz,Haut standing,F,2974385,Oui,Non
BIEN_000059,Villa,201,5,3,1,Aucun,Haut standing,G,291107,Oui,Non
BIEN_000990,Appartement,253,2,3,3,Fioul,Haut standing,E,2674619,Non,Oui
BIEN_000238,Appartement,180,3,0,1,Gaz,Standard,G,3037958,Non,Non
BIEN_000327,Appartement,115,4,1,2,Pompe à chaleur,Haut standing,G,2872127,Oui,Oui
BIEN_000485,Appartement,223,6,5,2,Électrique,Standard,G,4278235,Oui,Non
BIEN_000093,Studio,213,1,1,4,Pompe à chaleur,Standard,C,1839077,Oui,Non
BIEN_000819,Appartement,163,4,2,4,Fioul,Standard,E,2462788,Oui,Non
BIEN_000452,Appartement,175,3,0,1,Pompe à chaleur,Standard,C,2939321,Non,Non
BIEN_000391,Appartement,176,5,3,1,Fioul,Moyen,G,4395927,Oui,Non
BIEN_000399,Studio,98,5,2,3,Électrique,Haut standing,G,3347768,Oui,Non
BIEN_000007,Appartement,87,4,0,1,Électrique,Moyen,B,3500772,Non,Non
BIEN_000279,Villa,176,3,3,3,Pompe à chaleur,Haut standing,F,3176674,Oui,Non
BIEN_000024,Appartement,132,8,5,1,Gaz,Moyen,B,2354013,Non,Non
BIEN_000530,Appartement,111,5,1,2,Autre,Haut standing,F,1937685,Non,Oui
BIEN_000988,Penthouse,229,3,2,1,Gaz,Haut standing,B,3289718,Oui,Non
BIEN_000877,Maison,227,7,2,3,Fioul,Haut standing,C,3157544,Oui,Oui
BIEN_000517,Appartement,158,5,1,5,Chauffage central,Moyen,G,1875212,Non,Non
BIEN_000813,Appartement,127,6,3,1,Électrique,Luxe,D,4410872,Oui,Oui
