produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Samsung Galaxy S24,Mode,Danone,393.189928254281,2ème à -50%,327,Luxe,119
Lampe Philips Hue,Beauté,Lavazza,1.306963448720424,Aucune,303,Luxe,387
Ballon Nike,Mode,Adidas,-70.02585331750583,3 pour 2,374,Standard,513
Parfum Chanel N°5,Alimentation,Sony,805.8342764665286,Black Friday -40%,495,Premium,311
MacBook Air M3,Alimentation,Lavazza,183.97238005786792,Aucune,471,Standard,446
Samsung Galaxy S24,Maison,Philips,208.47454599232867,Aucune,937,Premium,459
Huile d'Olive Bio,Beauté,Apple,-33.2583678570261,Aucune,330,Standard,972
iPhone 15 Pro,Sport,IKEA,282.3483732410127,Cyber Monday -35%,1027,Budget,97
MacBook Air M3,Alimentation,IKEA,-36.387750171412804,Aucune,332,Premium,356
Yaourt Nature,Sport,Dyson,136.33904663519326,Aucune,204,Standard,402
AirPods Pro,Alimentation,Apple,-112.7879962259016,Aucune,461,Première Commande,461
Canapé IKEA Ektorp,Sport,Sony,11.346762811355575,Aucune,223,Première Commande,969
Zara Veste Hiver,Beauté,Sony,222.4365177677426,Aucune,-21,Premium,822
MacBook Air M3,Sport,Sony,409.5672145192201,Aucune,43,Budget,175
AirPods Pro,Mode,Nike,-63.913608252294864,Aucune,650,Standard,393
Aspirateur Dyson V15,Mode,Sony,351.0770966751994,Aucune,-8,Premium,1106
Vélo Décathlon,Alimentation,Danone,-57.71474342707188,Soldes -30%,301,Budget,1095
Lampe Philips Hue,Électronique,Chanel,2.486699598905716,Aucune,377,Budget,93
Crème L'Oréal,Mode,Apple,65.28811241641037,Soldes -20%,288,Budget,575
MacBook Air M3,Mode,Lindt,-57.04887947086716,Soldes -30%,486,Standard,437
Zara Veste Hiver,Électronique,Chanel,325.85860670391423,Aucune,465,Premium,1050
Aspirateur Dyson V15,Maison,Nike,1122.6148758159998,Aucune,174,Première Commande,156
PlayStation 5,Mode,Décathlon,88.25772682583948,Aucune,324,Standard,2104
Adidas Survêtement,Mode,IKEA,-60.04632520491833,Aucune,216,Standard,500
Yaourt Nature,Électronique,Sony,1474.2215330098975,Aucune,869,Premium,704
Zara Veste Hiver,Alimentation,Lindt,126.36210670669254,Promo Flash -25%,834,Première Commande,168
MacBook Air M3,Alimentation,Terra Bio,644.0988041283973,Aucune,282,Luxe,2274
AirPods Pro,Électronique,Philips,31.605520487784183,Black Friday -40%,516,Premium,398
Lampe Philips Hue,Maison,IKEA,-148.2685259574626,Aucune,266,Standard,363
Café Arabica,Sport,Dyson,4.655869243958328,Cyber Monday -35%,387,Luxe,4862
Chocolat Lindt,Alimentation,Sony,735.5608728639737,Aucune,714,Premium,1108
Lampe Philips Hue,Beauté,Zara,71.5059454686268,Aucune,198,Première Commande,307
Café Arabica,Électronique,Lindt,999.6095006885806,Aucune,335,Luxe,967
Chocolat Lindt,Mode,IKEA,-39.36751503601634,Aucune,398,Standard,1640
PlayStation 5,Beauté,Nike,570.4912796913534,Aucune,382,Budget,108
Lampe Philips Hue,Mode,Sony,719.591632069149,Aucune,424,Luxe,410
AirPods Pro,Mode,IKEA,-196.69464142544444,Aucune,831,Standard,477
Yaourt Nature,Alimentation,Danone,663.9618035208393,Aucune,84,Standard,277
Nike Air Max,Alimentation,H&M,131.56651717506162,Aucune,150,Budget,63
Nike Air Max,Sport,Zara,38.718802365034705,Aucune,391,Luxe,649
iPhone 15 Pro,Beauté,Zara,-6.081663012823164,Soldes -30%,76,Premium,147
Yaourt Nature,Mode,Décathlon,-6.440913267646231,Aucune,442,Premium,544
iPhone 15 Pro,Électronique,Lavazza,-7.366410902936636,Soldes -30%,277,Standard,883
Huile d'Olive Bio,Électronique,Apple,190.61900944716885,Black Friday -40%,239,Budget,745
Yaourt Nature,Sport,H&M,250.83497013831834,Soldes -30%,696,Première Commande,158
Vélo Décathlon,Mode,Apple,65.43243512193797,Soldes -20%,470,Premium,474
Samsung Galaxy S24,Maison,IKEA,80.31637441800274,Aucune,1108,Premium,406
Adidas Survêtement,Électronique,Apple,-91.48804206951195,2ème à -50%,287,Budget,370
iPhone 15 Pro,Beauté,IKEA,-56.766416076097954,Soldes -30%,906,Premium,525
Yaourt Nature,Électronique,Samsung,787.7238272654959,Aucune,1100,Premium,497
Café Arabica,Maison,Lavazza,-146.81261049935387,Aucune,332,Premium,2216
Nike Air Max,Électronique,Lindt,18.85290973958945,Aucune,-41,Premium,271
Parfum Chanel N°5,Sport,Lavazza,-0.4431744408960725,Aucune,409,Premium,681
Canapé IKEA Ektorp,Sport,H&M,474.7359901721036,2ème à -50%,644,Budget,69
H&M T-Shirt,Mode,Zara,93.94864769981729,Aucune,1086,Luxe,566
Vélo Décathlon,Mode,Nike,217.53098474384697,Soldes -20%,46,Premium,238
Huile d'Olive Bio,Alimentation,Sony,71.68080277500803,Aucune,97,Budget,875
H&M T-Shirt,Alimentation,IKEA,95.47618714579329,Aucune,404,Standard,4877
Lampe Philips Hue,Mode,Apple,34.719531506238525,Aucune,435,Standard,262
Aspirateur Dyson V15,Maison,Lavazza,187.80021027319572,Aucune,252,Standard,674
Aspirateur Dyson V15,Mode,Dyson,704.6205934118549,Aucune,354,Standard,319
Yaourt Nature,Mode,Apple,680.1559255527242,Promo Flash -25%,8,Standard,35
AirPods Pro,Mode,Dyson,806.4880154794346,Aucune,224,Luxe,283
Samsung Galaxy S24,Sport,Adidas,812.3299342086968,Aucune,1010,Premium,923
Yaourt Nature,Alimentation,Terra Bio,-42.8572355517386,3 pour 2,548,Budget,866
Huile d'Olive Bio,Mode,Lindt,1.7467422378959157,Black Friday -40%,1594,Standard,663
MacBook Air M3,Maison,Nike,280.5139418757995,Aucune,33,Budget,178
Ballon Nike,Mode,L'Oréal,356.355056592034,Cyber Monday -35%,533,Premium,609
H&M T-Shirt,Électronique,Apple,60.942000691941246,Aucune,406,Budget,375
Huile d'Olive Bio,Alimentation,Lavazza,-153.21655261401366,Aucune,115,Budget,356
Yaourt Nature,Électronique,Apple,880.1417512775909,Aucune,-2,Premium,-2
Adidas Survêtement,Mode,Sony,1193.9623779855128,Aucune,63,Première Commande,678
Aspirateur Dyson V15,Mode,Lindt,242.87478844747298,Cyber Monday -35%,539,Standard,750
Vélo Décathlon,Électronique,Lavazza,152.18723784730585,Aucune,456,Standard,894
Lampe Philips Hue,Sport,Sony,-333.45765217055276,Promo Flash -25%,703,Première Commande,509
Canapé IKEA Ektorp,Maison,Terra Bio,24.645289596732006,3 pour 2,74,Standard,110
Samsung Galaxy S24,Maison,Apple,144.7651804211036,Aucune,1295,Premium,1818
PlayStation 5,Mode,Apple,494.0058798918423,2ème à -50%,266,Premium,471
H&M T-Shirt,Sport,Nike,1282.7265851636998,Cyber Monday -35%,528,Premium,387
Vélo Décathlon,Mode,Chanel,75.88588901129343,Black Friday -40%,774,Premium,891
PlayStation 5,Beauté,L'Oréal,13.72819754058952,Aucune,412,Budget,320
Canapé IKEA Ektorp,Sport,Danone,113.22815043677593,Aucune,846,Luxe,549
Zara Veste Hiver,Sport,Lindt,-8.85461783549735,Soldes -50%,170,Premium,213
Huile d'Olive Bio,Électronique,L'Oréal,358.28136006097145,Aucune,289,Premium,1017
Adidas Survêtement,Électronique,Apple,-93.77295050455902,Aucune,227,Luxe,365
Aspirateur Dyson V15,Alimentation,Philips,621.7171691646015,Aucune,0,Premium,91
Adidas Survêtement,Alimentation,Zara,332.47773604954887,Soldes -20%,890,Première Commande,852
Adidas Survêtement,Mode,Lindt,185.07414969837242,Aucune,413,Standard,725
Zara Veste Hiver,Sport,Décathlon,-78.13009974973187,Aucune,392,Premium,597
Adidas Survêtement,Sport,Apple,206.53797802555744,Aucune,759,Budget,666
Adidas Survêtement,Sport,Philips,446.52803826116156,Soldes -20%,440,Standard,280
Yaourt Nature,Beauté,Lavazza,679.296749217973,Aucune,-24,Luxe,483
Ballon Nike,Mode,Zara,565.927007279219,Aucune,547,Standard,1020
Yaourt Nature,Beauté,IKEA,2.5952714318797447,Aucune,299,Budget,297
Chocolat Lindt,Maison,Lindt,-7.670359997143407,Aucune,664,Première Commande,325
Café Arabica,Alimentation,IKEA,-107.81383642322436,Aucune,335,Budget,488
MacBook Air M3,Maison,Chanel,266.36109974946066,Aucune,150,Standard,397
Adidas Survêtement,Maison,Samsung,-61.050666162739944,Soldes -20%,399,Première Commande,21
PlayStation 5,Sport,IKEA,383.2204033519845,Aucune,300,Première Commande,389
AirPods Pro,Sport,Lavazza,-9.39475603280772,Soldes -50%,383,Standard,687
Yaourt Nature,Alimentation,Danone,570.1764307348562,Soldes -20%,2407,Standard,774
Aspirateur Dyson V15,Mode,Adidas,1072.2608386207112,Soldes -20%,325,Premium,444
Lampe Philips Hue,Maison,Philips,-116.57902295742423,Aucune,967,Première Commande,1054
H&M T-Shirt,Alimentation,Terra Bio,69.94125032042537,Aucune,338,Premium,790
Vélo Décathlon,Maison,Adidas,59.176889103879546,Aucune,1800,Premium,259
AirPods Pro,Beauté,Décathlon,739.9184695818351,Aucune,358,Standard,83
Café Arabica,Électronique,Apple,103.19672734714032,Aucune,723,Premium,243
Nike Air Max,Maison,Samsung,-174.8007926740001,Aucune,404,Budget,1104
Chocolat Lindt,Sport,Apple,467.1637653620779,Aucune,135,Luxe,322
Crème L'Oréal,Mode,Terra Bio,245.1871090597446,Aucune,27,Luxe,1087
Parfum Chanel N°5,Alimentation,Zara,103.15440376008416,Promo Flash -25%,452,Standard,673
Zara Veste Hiver,Mode,Danone,537.5551031513227,Black Friday -40%,410,Premium,4068
Ballon Nike,Mode,Lindt,0.005793460159743802,Black Friday -40%,857,Budget,750
Adidas Survêtement,Beauté,Nike,757.3419755604484,Soldes -20%,423,Standard,214
Canapé IKEA Ektorp,Mode,Zara,120.5454927323499,Aucune,887,Standard,241
MacBook Air M3,Alimentation,L'Oréal,121.77766537234157,Aucune,3124,Budget,333
Samsung Galaxy S24,Mode,Apple,-64.8358066524055,Soldes -20%,339,Standard,320
Zara Veste Hiver,Beauté,Nike,535.3747618419382,Aucune,340,Budget,142
Vélo Décathlon,Sport,Zara,-88.97190916773732,Soldes -30%,445,Budget,384
Lampe Philips Hue,Électronique,H&M,125.64826158411626,Aucune,445,Première Commande,142
iPhone 15 Pro,Alimentation,Décathlon,-7.041936209241506,Soldes -20%,508,Premium,462
Adidas Survêtement,Mode,Chanel,885.919723329749,Black Friday -40%,232,Standard,713
Lampe Philips Hue,Mode,Décathlon,399.92584512395433,Aucune,418,Standard,1718
Yaourt Nature,Électronique,Nike,293.960429269584,Soldes -20%,461,Budget,354
Huile d'Olive Bio,Mode,Philips,101.40834906246425,Aucune,382,Standard,470
Adidas Survêtement,Sport,Lindt,374.8252663783195,Aucune,429,Standard,135
H&M T-Shirt,Maison,Lindt,24.119793451345917,Aucune,109,Luxe,419
AirPods Pro,Mode,Décathlon,205.55684886824523,Soldes -50%,884,Budget,739
H&M T-Shirt,Mode,Dyson,646.5860377516682,Black Friday -40%,490,Premium,805
Nike Air Max,Mode,Sony,106.33488886947094,Aucune,119,Premium,1746
Crème L'Oréal,Maison,Chanel,-66.85189034595032,3 pour 2,327,Standard,643
Huile d'Olive Bio,Maison,Décathlon,132.31811792708208,Aucune,1107,Premium,2856
Aspirateur Dyson V15,Alimentation,Sony,331.3886836246212,Aucune,-318,Première Commande,1464
Yaourt Nature,Sport,H&M,488.1889050378122,Aucune,970,Budget,14
Ballon Nike,Alimentation,Nike,245.99161012993943,Aucune,213,Premium,533
Canapé IKEA Ektorp,Alimentation,Décathlon,702.2473720813925,Soldes -20%,1070,Standard,296
Lampe Philips Hue,Mode,Décathlon,178.3340180425715,Soldes -50%,417,Standard,443
Ballon Nike,Alimentation,Philips,469.086218858545,Soldes -30%,58,Premium,475
Parfum Chanel N°5,Mode,Terra Bio,290.3022392620816,Aucune,450,Budget,427
Chocolat Lindt,Maison,Chanel,105.57306896265652,Aucune,334,Premium,660
Nike Air Max,Électronique,Adidas,284.2358845542875,Aucune,457,Première Commande,3073
H&M T-Shirt,Mode,Apple,1190.84313756026,Aucune,23,Standard,141
Vélo Décathlon,Beauté,Terra Bio,115.52315258302968,Aucune,-57,Luxe,599
PlayStation 5,Mode,Apple,443.73414119435,Soldes -20%,359,Standard,120
Huile d'Olive Bio,Électronique,IKEA,-119.03826505303238,Aucune,422,Première Commande,264
iPhone 15 Pro,Électronique,Samsung,65.80105670394084,Aucune,1663,Budget,844
Ballon Nike,Beauté,L'Oréal,-67.92377465508059,Soldes -20%,413,Standard,635
H&M T-Shirt,Électronique,Samsung,-30.00375761806805,Aucune,834,Luxe,634
PlayStation 5,Électronique,IKEA,-23.22277369865735,Aucune,262,Budget,1135
AirPods Pro,Alimentation,Nike,450.34802389964375,Aucune,48,Luxe,353
Canapé IKEA Ektorp,Alimentation,Nike,-101.32273583035823,Aucune,-36,Standard,543
Parfum Chanel N°5,Beauté,Zara,65.90277458619329,Aucune,-122,Premium,-74
MacBook Air M3,Sport,L'Oréal,60.95880232907638,Aucune,782,Standard,541
Chocolat Lindt,Électronique,Adidas,86.0429720326596,Aucune,361,Budget,770
Ballon Nike,Électronique,Dyson,585.0191924352768,Aucune,5,Premium,5
Nike Air Max,Mode,Samsung,-29.25891971158994,Aucune,284,Premium,481
Huile d'Olive Bio,Électronique,Dyson,-105.7022369595411,Promo Flash -25%,892,Premium,325
Huile d'Olive Bio,Maison,Décathlon,-82.51415349582615,3 pour 2,484,Budget,378
Café Arabica,Alimentation,Décathlon,83.74962006936082,Aucune,511,Standard,762
Samsung Galaxy S24,Maison,Apple,-117.74471322339284,Promo Flash -25%,289,Première Commande,328
Yaourt Nature,Électronique,Chanel,545.7139669353741,Aucune,21,Luxe,440
iPhone 15 Pro,Électronique,Terra Bio,-89.54262454751415,Aucune,-83,Luxe,889
iPhone 15 Pro,Mode,Danone,-7.811516075525397,Soldes -20%,328,Standard,193
Adidas Survêtement,Mode,Zara,-70.53999238090331,Aucune,-42,Budget,163
Samsung Galaxy S24,Sport,Samsung,-28.247468114214172,Aucune,169,Luxe,391
Samsung Galaxy S24,Beauté,Nike,-65.67963450152479,Aucune,-46,Budget,123
Huile d'Olive Bio,Alimentation,Apple,430.8183924279698,Aucune,264,Standard,618
Parfum Chanel N°5,Mode,Nike,598.1049905229518,Aucune,172,Standard,548
Vélo Décathlon,Sport,Philips,-41.09428121742225,Soldes -50%,489,Standard,896
Café Arabica,Mode,Nike,11.559912224462323,Soldes -30%,1315,Budget,101
Canapé IKEA Ektorp,Électronique,L'Oréal,387.45156546475937,Aucune,51,Luxe,-10
iPhone 15 Pro,Électronique,Terra Bio,408.90535170580745,Aucune,455,Budget,316
Aspirateur Dyson V15,Mode,Samsung,464.8689327625285,Aucune,175,Standard,247
Parfum Chanel N°5,Beauté,H&M,329.7114047559676,Soldes -30%,1045,Premium,352
MacBook Air M3,Maison,Danone,8.595643186794412,Soldes -30%,769,Standard,304
Vélo Décathlon,Maison,Apple,118.71072760675168,2ème à -50%,347,Première Commande,313
Lampe Philips Hue,Sport,Lindt,-34.26442704144216,3 pour 2,269,Budget,453
PlayStation 5,Mode,H&M,-27.64691838436842,Aucune,192,Standard,384
AirPods Pro,Mode,Terra Bio,1059.1390890501987,Soldes -20%,263,Standard,2472
Lampe Philips Hue,Électronique,L'Oréal,107.59800107819912,Promo Flash -25%,1012,Premium,11
Samsung Galaxy S24,Électronique,Chanel,947.7474707265334,Aucune,21,Budget,856
Adidas Survêtement,Beauté,Philips,65.18072086157906,Soldes -20%,-24,Première Commande,640
Café Arabica,Alimentation,L'Oréal,10.953671090836515,Aucune,320,Premium,627
Aspirateur Dyson V15,Électronique,Philips,564.0147297555427,Soldes -30%,276,Standard,936
Chocolat Lindt,Mode,IKEA,355.41132705205825,Aucune,661,Standard,645
Vélo Décathlon,Électronique,Sony,56.979435757158136,Aucune,351,Premium,1026
Crème L'Oréal,Maison,Adidas,-216.60233411417363,Aucune,187,Standard,214
Yaourt Nature,Beauté,Nike,249.43447343554578,Aucune,-4,Premium,762
Chocolat Lindt,Mode,Lindt,-70.2156758280376,Soldes -30%,-78,Premium,301
Aspirateur Dyson V15,Beauté,Apple,16.471658491731763,Soldes -30%,373,Standard,303
iPhone 15 Pro,Mode,Apple,-51.401064225504655,Cyber Monday -35%,451,Premium,745
Crème L'Oréal,Mode,Lindt,1333.4840696231283,Aucune,40,Standard,157
Ballon Nike,Électronique,Terra Bio,87.27138767816024,Soldes -20%,991,Standard,772
Nike Air Max,Électronique,Lavazza,97.50099115212413,Aucune,403,Luxe,600
Adidas Survêtement,Alimentation,Apple,465.29649120192806,Soldes -50%,1443,Première Commande,671
Aspirateur Dyson V15,Mode,Dyson,215.9177080846604,3 pour 2,859,Standard,100
Aspirateur Dyson V15,Maison,Terra Bio,136.99425410212888,Soldes -20%,156,Luxe,984
Chocolat Lindt,Mode,Nike,20.08917523314085,Black Friday -40%,281,Premium,371
Huile d'Olive Bio,Sport,Lavazza,665.6578557866709,Aucune,809,Luxe,409
Aspirateur Dyson V15,Sport,Décathlon,853.882892350603,Aucune,388,Budget,867
Canapé IKEA Ektorp,Alimentation,Chanel,551.4400347852813,Aucune,493,Standard,1669
Ballon Nike,Mode,Adidas,-60.74431107708189,Aucune,242,Budget,695
H&M T-Shirt,Sport,Lavazza,-119.11445389995214,Aucune,354,Budget,855
Chocolat Lindt,Électronique,Danone,-49.253464232290895,Aucune,296,Budget,353
Lampe Philips Hue,Mode,Sony,37.017033224907266,Aucune,667,Standard,325
MacBook Air M3,Alimentation,Nike,996.6474903120551,Aucune,525,Budget,134
PlayStation 5,Beauté,Sony,66.58945573253047,Aucune,869,Standard,381
H&M T-Shirt,Sport,Apple,30.544816351222316,Soldes -20%,758,Premium,353
Parfum Chanel N°5,Alimentation,Danone,-53.12962971205121,Aucune,511,Budget,215
MacBook Air M3,Mode,Nike,-58.23602468640986,Promo Flash -25%,537,Budget,373
H&M T-Shirt,Alimentation,Sony,28.0517855370103,2ème à -50%,1061,Premium,994
Parfum Chanel N°5,Électronique,Danone,447.81497976686535,Cyber Monday -35%,518,Premium,851
Crème L'Oréal,Alimentation,Zara,13.719777928244412,Aucune,434,Standard,376
Ballon Nike,Mode,Nike,-4.718284937817572,Soldes -20%,116,Standard,11
Zara Veste Hiver,Mode,Zara,390.5299835433472,Aucune,459,Standard,847
Nike Air Max,Électronique,Apple,544.5272469397225,Aucune,60,Luxe,243
Samsung Galaxy S24,Électronique,Zara,500.66344251949556,Soldes -50%,453,Premium,1120
Samsung Galaxy S24,Mode,Nike,121.7242356881074,Soldes -20%,402,Standard,730
Canapé IKEA Ektorp,Alimentation,Dyson,611.9432624547251,Aucune,609,Première Commande,328
Huile d'Olive Bio,Alimentation,Terra Bio,130.99052548052458,Aucune,343,Premium,357
AirPods Pro,Maison,Dyson,148.79559998688055,Soldes -20%,3545,Standard,276
H&M T-Shirt,Mode,Lindt,-14.336665904508564,Aucune,174,Première Commande,79
Adidas Survêtement,Maison,Décathlon,1111.0722954535531,2ème à -50%,951,Standard,714
Chocolat Lindt,Électronique,Sony,365.0391467210117,Black Friday -40%,249,Standard,753
Canapé IKEA Ektorp,Sport,Dyson,1085.1298253133118,Aucune,485,Budget,282
Canapé IKEA Ektorp,Alimentation,Chanel,239.74179995066245,Aucune,70,Standard,1784
Parfum Chanel N°5,Mode,Terra Bio,72.85389752668266,Aucune,986,Standard,792
Yaourt Nature,Mode,Danone,664.6890224996682,Aucune,236,Première Commande,313
Parfum Chanel N°5,Électronique,Dyson,173.13525215568822,Aucune,398,Luxe,473
PlayStation 5,Mode,Lavazza,247.62266047145113,Black Friday -40%,650,Luxe,320
H&M T-Shirt,Mode,Samsung,76.34758960988881,Soldes -20%,469,Luxe,287
Canapé IKEA Ektorp,Maison,IKEA,792.1805179532005,Aucune,299,Premium,66
Nike Air Max,Électronique,H&M,-13.231171725607872,Aucune,369,Standard,938
MacBook Air M3,Maison,Décathlon,54.251179498388645,Aucune,1928,Standard,376
Ballon Nike,Sport,Nike,128.33252152077625,Aucune,355,Premium,922
Nike Air Max,Sport,IKEA,-27.801455035361784,Aucune,756,Premium,318
Lampe Philips Hue,Mode,Sony,161.91771919053122,Aucune,426,Standard,372
Canapé IKEA Ektorp,Maison,Apple,10.525340174275996,Aucune,494,Luxe,249
Café Arabica,Mode,Terra Bio,1261.4413827283195,Soldes -20%,1047,Budget,208
Chocolat Lindt,Électronique,H&M,-36.033930846784884,Soldes -30%,431,Standard,200
Aspirateur Dyson V15,Mode,Adidas,-33.821203710927094,Aucune,880,Luxe,855
PlayStation 5,Mode,Danone,442.27036903562157,Black Friday -40%,344,Luxe,194
Vélo Décathlon,Beauté,Zara,61.82541982964481,Aucune,183,Standard,745
Samsung Galaxy S24,Maison,Décathlon,-9.732205532379382,Aucune,119,Première Commande,123
iPhone 15 Pro,Mode,Apple,55.903238578951004,Soldes -20%,687,Première Commande,466
Lampe Philips Hue,Mode,Adidas,-73.42834484091532,Aucune,24,Première Commande,369
AirPods Pro,Beauté,Sony,1.7167895848895967,Black Friday -40%,500,Standard,1152
Ballon Nike,Beauté,Terra Bio,733.8919788212249,Promo Flash -25%,6,Budget,283
Zara Veste Hiver,Sport,Nike,35.32592364309524,Aucune,260,Budget,835
PlayStation 5,Maison,Adidas,76.1372584842025,Aucune,238,Premium,466
MacBook Air M3,Maison,Lindt,188.02004957704617,Aucune,718,Luxe,721
Aspirateur Dyson V15,Électronique,Décathlon,456.92060258031375,Aucune,1036,Premium,702
Zara Veste Hiver,Mode,Sony,58.04110557583677,Black Friday -40%,617,Premium,419
MacBook Air M3,Beauté,Nike,45.62771866918991,Black Friday -40%,1316,Luxe,339
Huile d'Olive Bio,Alimentation,Nike,357.17164622684317,Aucune,1005,Luxe,430
Adidas Survêtement,Mode,Samsung,281.0085565135189,Aucune,927,Premium,517
Yaourt Nature,Mode,Adidas,38.63566611069729,Aucune,102,Première Commande,613
AirPods Pro,Alimentation,Sony,450.3840635093228,Promo Flash -25%,325,Standard,413
Nike Air Max,Beauté,Zara,-7.186157112190074,Aucune,596,Premium,419
MacBook Air M3,Mode,Chanel,1505.7838192736413,Aucune,225,Premium,1787
Aspirateur Dyson V15,Sport,Danone,9.448027464870563,Cyber Monday -35%,104,Budget,286
Chocolat Lindt,Alimentation,Décathlon,-22.038594310242487,Aucune,249,Luxe,1029
Yaourt Nature,Alimentation,Philips,245.6110496969646,Soldes -20%,332,Standard,37
Aspirateur Dyson V15,Beauté,Décathlon,-32.24835240228552,Aucune,320,Standard,566
Adidas Survêtement,Mode,Samsung,859.3748480896551,Cyber Monday -35%,1647,Premium,429
Ballon Nike,Beauté,Sony,60.91700496779174,Black Friday -40%,271,Standard,888
Café Arabica,Électronique,IKEA,543.0103270849069,Soldes -30%,403,Standard,441
Adidas Survêtement,Beauté,Nike,-26.474248605491823,Aucune,160,Premium,184
Parfum Chanel N°5,Électronique,Apple,745.3202933293961,Aucune,220,Standard,331
